"Table 1. Illicit Drug Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana (including vaping), cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one’s own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","14.29%","13.75%","14.85%","7.09%","6.35%","7.89%","25.32%","24.07%","26.62%","13.47%","12.85%","14.11%","15.03%","14.45%","15.64%"
"2","Northeast","15.96%","14.84%","17.15%","7.94%","6.62%","9.48%","26.34%","23.93%","28.91%","15.29%","14.00%","16.68%","16.70%","15.50%","17.98%"
"3","Midwest","14.93%","14.11%","15.78%","7.66%","6.66%","8.79%","26.07%","24.28%","27.94%","14.06%","13.12%","15.07%","15.69%","14.80%","16.61%"
"4","South","11.56%","10.92%","12.23%","5.77%","5.01%","6.63%","21.36%","19.82%","22.99%","10.77%","10.03%","11.56%","12.17%","11.48%","12.90%"
"5","West","16.90%","15.89%","17.96%","8.16%","6.79%","9.78%","30.25%","27.67%","32.95%","15.91%","14.74%","17.16%","17.81%","16.70%","18.96%"
"6","Alabama","9.51%","7.56%","11.89%","4.38%","2.84%","6.71%","19.26%","14.80%","24.69%","8.63%","6.58%","11.24%","10.04%","7.96%","12.58%"
"7","Alaska","21.61%","18.22%","25.44%","9.99%","6.98%","14.11%","32.84%","26.44%","39.94%","21.49%","17.66%","25.90%","22.91%","19.26%","27.03%"
"8","Arizona","18.40%","15.24%","22.05%","10.76%","7.60%","15.03%","40.28%","32.47%","48.62%","15.87%","12.49%","19.95%","19.20%","15.83%","23.09%"
"9","Arkansas","11.14%","8.80%","14.02%","5.27%","3.40%","8.09%","20.08%","15.43%","25.71%","10.47%","8.00%","13.61%","11.78%","9.29%","14.84%"
"10","California","15.73%","14.14%","17.47%","6.90%","5.02%","9.42%","28.24%","24.41%","32.42%","14.87%","13.06%","16.89%","16.65%","14.92%","18.53%"
"11","Colorado","20.20%","17.28%","23.48%","10.68%","7.60%","14.80%","32.57%","26.97%","38.72%","19.43%","16.24%","23.07%","21.15%","18.05%","24.63%"
"12","Connecticut","15.52%","12.58%","19.00%","8.89%","5.93%","13.11%","25.82%","19.74%","33.01%","14.67%","11.52%","18.49%","16.16%","13.04%","19.85%"
"13","Delaware","16.81%","13.91%","20.17%","9.73%","6.71%","13.92%","30.14%","24.27%","36.73%","15.79%","12.61%","19.59%","17.48%","14.40%","21.06%"
"14","District of Columbia","23.31%","19.61%","27.48%","9.15%","5.84%","14.04%","34.18%","26.89%","42.30%","22.54%","18.46%","27.23%","24.21%","20.35%","28.54%"
"15","Florida","11.63%","10.03%","13.45%","5.02%","3.62%","6.94%","22.43%","18.76%","26.59%","10.93%","9.16%","12.99%","12.21%","10.50%","14.16%"
"16","Georgia","12.22%","10.31%","14.43%","6.99%","5.08%","9.55%","22.03%","17.95%","26.74%","11.33%","9.25%","13.81%","12.81%","10.77%","15.17%"
"17","Hawaii","10.72%","8.56%","13.34%","6.36%","3.97%","10.04%","28.55%","22.18%","35.92%","8.96%","6.75%","11.80%","11.11%","8.84%","13.89%"
"18","Idaho","11.65%","9.08%","14.83%","6.74%","4.45%","10.09%","24.25%","17.91%","31.96%","10.33%","7.69%","13.73%","12.25%","9.50%","15.66%"
"19","Illinois","16.11%","13.99%","18.49%","7.95%","5.97%","10.51%","27.67%","23.12%","32.73%","15.34%","12.99%","18.03%","16.96%","14.69%","19.51%"
"20","Indiana","13.00%","10.85%","15.50%","6.55%","4.56%","9.32%","24.28%","19.64%","29.61%","11.93%","9.60%","14.74%","13.70%","11.41%","16.38%"
"21","Iowa","12.47%","10.04%","15.39%","6.62%","4.50%","9.66%","20.08%","15.18%","26.06%","11.90%","9.30%","15.11%","13.09%","10.50%","16.21%"
"22","Kansas","13.13%","10.97%","15.64%","7.01%","4.86%","10.02%","22.56%","18.06%","27.80%","12.33%","9.97%","15.15%","13.83%","11.51%","16.52%"
"23","Kentucky","11.49%","9.41%","13.96%","6.90%","4.72%","9.98%","20.34%","15.90%","25.65%","10.68%","8.47%","13.37%","11.97%","9.77%","14.58%"
"24","Louisiana","14.39%","11.73%","17.54%","7.48%","5.10%","10.83%","30.32%","23.96%","37.52%","12.85%","10.04%","16.29%","15.14%","12.31%","18.50%"
"25","Maine","20.04%","16.95%","23.52%","9.11%","6.34%","12.91%","30.94%","24.74%","37.90%","19.73%","16.33%","23.63%","20.95%","17.68%","24.65%"
"26","Maryland","14.81%","12.46%","17.53%","7.10%","5.03%","9.92%","28.30%","22.70%","34.65%","13.79%","11.26%","16.78%","15.60%","13.08%","18.49%"
"27","Massachusetts","18.21%","15.15%","21.74%","8.49%","5.83%","12.20%","30.60%","24.37%","37.63%","17.20%","13.88%","21.12%","19.07%","15.83%","22.79%"
"28","Michigan","18.97%","17.01%","21.10%","9.33%","7.26%","11.91%","31.79%","27.72%","36.15%","18.09%","15.85%","20.57%","19.93%","17.82%","22.21%"
"29","Minnesota","13.98%","11.49%","16.91%","7.96%","5.57%","11.26%","28.35%","22.61%","34.89%","12.58%","9.96%","15.76%","14.62%","11.98%","17.73%"
"30","Mississippi","13.28%","10.76%","16.28%","7.73%","5.32%","11.11%","25.22%","19.28%","32.26%","12.10%","9.49%","15.32%","13.91%","11.23%","17.11%"
"31","Missouri","14.65%","11.96%","17.83%","7.12%","4.81%","10.41%","25.18%","19.66%","31.64%","13.94%","11.05%","17.45%","15.43%","12.57%","18.81%"
"32","Montana","17.36%","14.08%","21.21%","8.55%","5.77%","12.48%","35.10%","27.55%","43.48%","15.67%","12.28%","19.79%","18.22%","14.75%","22.29%"
"33","Nebraska","11.25%","9.07%","13.88%","6.26%","4.12%","9.39%","18.99%","14.53%","24.43%","10.60%","8.22%","13.57%","11.83%","9.51%","14.62%"
"34","Nevada","19.06%","16.09%","22.43%","7.50%","5.06%","10.98%","36.37%","29.84%","43.45%","18.09%","14.83%","21.88%","20.25%","17.06%","23.86%"
"35","New Hampshire","14.79%","12.05%","18.02%","6.47%","4.49%","9.25%","27.57%","21.86%","34.11%","13.80%","10.82%","17.45%","15.50%","12.59%","18.94%"
"36","New Jersey","13.06%","10.82%","15.68%","6.76%","4.58%","9.87%","27.61%","22.32%","33.62%","11.76%","9.34%","14.70%","13.69%","11.30%","16.49%"
"37","New Mexico","20.15%","17.04%","23.65%","12.21%","8.46%","17.30%","33.60%","27.37%","40.47%","19.05%","15.62%","23.03%","21.00%","17.70%","24.73%"
"38","New York","16.80%","14.81%","19.00%","8.78%","6.63%","11.54%","24.26%","20.26%","28.76%","16.54%","14.30%","19.06%","17.53%","15.40%","19.87%"
"39","North Carolina","11.07%","9.02%","13.52%","5.86%","4.12%","8.29%","18.37%","14.22%","23.40%","10.58%","8.35%","13.32%","11.60%","9.42%","14.21%"
"40","North Dakota","10.87%","8.47%","13.85%","6.16%","3.87%","9.68%","17.95%","12.86%","24.49%","10.16%","7.59%","13.47%","11.38%","8.83%","14.54%"
"41","Ohio","15.10%","13.31%","17.09%","7.93%","6.03%","10.36%","23.94%","20.35%","27.92%","14.61%","12.57%","16.91%","15.83%","13.91%","17.96%"
"42","Oklahoma","17.29%","14.49%","20.50%","9.10%","6.19%","13.17%","26.69%","21.07%","33.18%","16.81%","13.67%","20.50%","18.21%","15.21%","21.66%"
"43","Oregon","20.92%","18.01%","24.15%","10.28%","7.37%","14.17%","38.02%","31.80%","44.67%","19.66%","16.46%","23.32%","21.89%","18.81%","25.33%"
"44","Pennsylvania","14.59%","12.65%","16.76%","6.61%","4.88%","8.89%","24.05%","19.98%","28.65%","14.09%","11.94%","16.55%","15.34%","13.27%","17.66%"
"45","Rhode Island","19.76%","16.17%","23.92%","11.01%","7.31%","16.24%","36.72%","28.92%","45.27%","17.86%","14.15%","22.29%","20.51%","16.75%","24.87%"
"46","South Carolina","12.43%","10.02%","15.32%","6.67%","4.56%","9.65%","24.45%","19.03%","30.84%","11.36%","8.87%","14.44%","13.01%","10.46%","16.06%"
"47","South Dakota","9.96%","7.69%","12.80%","5.84%","3.60%","9.32%","16.91%","11.92%","23.44%","9.39%","6.97%","12.53%","10.43%","8.01%","13.47%"
"48","Tennessee","11.82%","9.50%","14.61%","5.70%","3.88%","8.31%","21.07%","16.48%","26.52%","11.16%","8.66%","14.27%","12.44%","9.96%","15.43%"
"49","Texas","8.51%","7.27%","9.92%","4.20%","3.02%","5.82%","16.29%","13.38%","19.69%","7.78%","6.43%","9.40%","9.03%","7.70%","10.56%"
"50","Utah","10.82%","8.94%","13.04%","5.86%","3.96%","8.59%","16.75%","12.85%","21.53%","10.37%","8.27%","12.93%","11.53%","9.49%","13.93%"
"51","Vermont","23.99%","20.95%","27.31%","12.52%","9.07%","17.04%","37.39%","31.15%","44.09%","22.91%","19.46%","26.76%","24.93%","21.71%","28.44%"
"52","Virginia","12.89%","11.05%","14.98%","6.55%","4.87%","8.74%","24.66%","20.58%","29.26%","11.83%","9.82%","14.18%","13.53%","11.56%","15.76%"
"53","Washington","19.62%","16.67%","22.95%","10.27%","7.25%","14.37%","30.77%","25.25%","36.90%","19.10%","15.85%","22.84%","20.53%","17.41%","24.05%"
"54","West Virginia","14.23%","11.46%","17.53%","7.18%","4.96%","10.29%","25.53%","20.03%","31.94%","13.39%","10.41%","17.05%","14.88%","11.94%","18.39%"
"55","Wisconsin","13.14%","11.10%","15.48%","7.23%","5.18%","10.00%","28.35%","23.44%","33.83%","11.46%","9.27%","14.08%","13.73%","11.57%","16.22%"
"56","Wyoming","12.65%","10.09%","15.75%","6.83%","4.47%","10.31%","19.55%","14.86%","25.29%","12.36%","9.55%","15.85%","13.29%","10.57%","16.58%"
