"Table 2. Marijuana Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","18.74%","18.12%","19.39%","10.47%","9.60%","11.40%","35.37%","34.01%","36.75%","17.20%","16.49%","17.93%","19.59%","18.92%","20.28%"
"2","Northeast","20.22%","18.96%","21.54%","10.70%","9.16%","12.46%","35.15%","32.38%","38.02%","19.05%","17.58%","20.60%","21.11%","19.76%","22.52%"
"3","Midwest","19.78%","18.80%","20.81%","11.20%","9.86%","12.69%","36.99%","34.85%","39.18%","18.13%","16.97%","19.35%","20.68%","19.62%","21.78%"
"4","South","15.57%","14.81%","16.36%","9.02%","7.86%","10.34%","31.70%","29.81%","33.66%","13.92%","13.03%","14.85%","16.26%","15.44%","17.12%"
"5","West","21.84%","20.71%","23.02%","12.03%","10.32%","13.97%","39.93%","37.23%","42.70%","20.26%","18.92%","21.68%","22.86%","21.63%","24.14%"
"6","Alabama","12.66%","10.21%","15.58%","7.57%","5.20%","10.89%","29.85%","24.02%","36.41%","10.64%","8.04%","13.97%","13.18%","10.58%","16.29%"
"7","Alaska","27.01%","22.91%","31.53%","18.29%","13.54%","24.24%","43.10%","36.28%","50.19%","25.81%","21.14%","31.12%","27.98%","23.60%","32.83%"
"8","Arizona","21.91%","18.34%","25.95%","12.21%","8.97%","16.41%","49.20%","41.27%","57.18%","18.77%","14.84%","23.46%","22.92%","19.11%","27.22%"
"9","Arkansas","15.56%","12.57%","19.10%","9.15%","6.40%","12.92%","31.24%","25.05%","38.19%","13.90%","10.65%","17.94%","16.26%","13.08%","20.02%"
"10","California","20.80%","18.98%","22.76%","10.16%","8.05%","12.76%","38.76%","34.64%","43.05%","19.33%","17.20%","21.65%","21.90%","19.93%","24.01%"
