"Table 3. Marijuana Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","12.99%","12.47%","13.54%","5.76%","5.10%","6.50%","24.13%","22.90%","25.40%","12.16%","11.57%","12.77%","13.74%","13.17%","14.32%"
"2","Northeast","14.39%","13.36%","15.48%","6.11%","5.11%","7.28%","24.30%","21.99%","26.76%","13.82%","12.65%","15.08%","15.16%","14.06%","16.32%"
"3","Midwest","13.79%","13.00%","14.63%","6.90%","5.98%","7.96%","25.78%","24.04%","27.60%","12.75%","11.84%","13.72%","14.51%","13.65%","15.41%"
"4","South","10.39%","9.79%","11.03%","4.69%","4.02%","5.47%","20.60%","19.10%","22.18%","9.54%","8.86%","10.26%","10.99%","10.34%","11.68%"
"5","West","15.45%","14.45%","16.50%","6.27%","5.24%","7.47%","28.18%","25.74%","30.76%","14.61%","13.46%","15.83%","16.40%","15.32%","17.54%"
"6","Alabama","7.42%","5.69%","9.62%","3.96%","2.42%","6.39%","17.66%","13.28%","23.08%","6.27%","4.52%","8.63%","7.77%","5.95%","10.09%"
"7","Alaska","20.91%","17.42%","24.88%","6.47%","4.10%","10.07%","34.58%","27.64%","42.24%","20.80%","16.94%","25.27%","22.52%","18.75%","26.81%"
"8","Arizona","18.00%","14.78%","21.74%","7.49%","5.16%","10.75%","39.98%","31.80%","48.75%","15.80%","12.42%","19.89%","19.09%","15.65%","23.09%"
"9","Arkansas","9.23%","7.13%","11.86%","4.68%","3.02%","7.18%","19.30%","14.44%","25.31%","8.21%","6.09%","10.99%","9.72%","7.51%","12.50%"
"10","California","14.21%","12.69%","15.88%","5.18%","3.87%","6.91%","25.91%","22.27%","29.91%","13.50%","11.78%","15.43%","15.15%","13.50%","16.95%"
"11","Colorado","18.60%","15.70%","21.88%","6.84%","4.66%","9.95%","30.56%","24.92%","36.86%","18.14%","14.99%","21.78%","19.77%","16.69%","23.25%"
"12","Connecticut","13.45%","10.56%","16.97%","4.74%","3.13%","7.13%","22.90%","17.08%","30.00%","12.96%","9.87%","16.82%","14.28%","11.20%","18.04%"
"13","Delaware","14.98%","12.05%","18.48%","5.64%","3.73%","8.44%","27.69%","22.09%","34.07%","14.28%","11.02%","18.31%","15.86%","12.73%","19.59%"
"14","District of Columbia","22.00%","18.26%","26.26%","12.38%","7.52%","19.73%","27.92%","21.48%","35.41%","21.72%","17.48%","26.67%","22.61%","18.71%","27.05%"
"15","Florida","10.66%","9.06%","12.51%","3.90%","2.78%","5.45%","20.52%","17.05%","24.48%","10.09%","8.34%","12.16%","11.26%","9.55%","13.22%"
"16","Georgia","11.46%","9.58%","13.65%","5.79%","4.18%","7.96%","22.34%","18.15%","27.17%","10.46%","8.42%","12.92%","12.10%","10.09%","14.44%"
"17","Hawaii","9.42%","7.23%","12.18%","4.87%","2.96%","7.92%","24.03%","18.22%","30.99%","8.07%","5.83%","11.07%","9.83%","7.53%","12.75%"
"18","Idaho","10.14%","7.72%","13.21%","4.89%","3.17%","7.49%","24.51%","17.90%","32.59%","8.58%","6.23%","11.71%","10.78%","8.19%","14.06%"
"19","Illinois","14.91%","12.78%","17.31%","8.78%","6.60%","11.58%","27.42%","22.75%","32.64%","13.75%","11.45%","16.42%","15.54%","13.28%","18.11%"
"20","Indiana","11.74%","9.62%","14.25%","5.07%","3.45%","7.40%","25.52%","20.57%","31.19%","10.28%","8.04%","13.06%","12.46%","10.20%","15.15%"
"21","Iowa","11.28%","8.82%","14.32%","5.07%","3.41%","7.48%","19.20%","14.17%","25.47%","10.72%","8.12%","14.02%","11.95%","9.32%","15.20%"
