"Table 4. Perceptions of Great Risk from Smoking Marijuana Once a Month: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","21.59%","20.85%","22.34%","23.26%","21.97%","24.60%","11.58%","10.71%","12.51%","22.92%","22.02%","23.85%","21.42%","20.62%","22.24%"
"2","Northeast","20.05%","18.73%","21.43%","22.58%","20.26%","25.09%","10.70%","9.32%","12.24%","21.16%","19.59%","22.83%","19.82%","18.43%","21.28%"
"3","Midwest","18.54%","17.54%","19.58%","20.39%","18.66%","22.24%","9.96%","8.78%","11.28%","19.66%","18.44%","20.94%","18.35%","17.29%","19.45%"
"4","South","23.90%","22.90%","24.92%","26.60%","24.87%","28.40%","12.11%","10.89%","13.45%","25.37%","24.13%","26.64%","23.61%","22.55%","24.72%"
"5","West","21.69%","20.44%","22.99%","20.79%","18.77%","22.96%","12.83%","11.15%","14.73%","23.15%","21.62%","24.77%","21.78%","20.42%","23.21%"
"6","Alabama","26.59%","22.88%","30.65%","26.54%","20.74%","33.29%","16.43%","12.24%","21.70%","28.15%","23.82%","32.92%","26.59%","22.69%","30.89%"
"7","Alaska","17.35%","14.19%","21.05%","14.96%","10.76%","20.44%","9.98%","7.02%","13.99%","18.72%","14.99%","23.13%","17.62%","14.25%","21.59%"
"8","Arizona","20.25%","16.80%","24.21%","20.83%","15.93%","26.76%","9.34%","6.53%","13.19%","21.91%","17.86%","26.59%","20.19%","16.57%","24.38%"
"9","Arkansas","25.71%","21.53%","30.39%","27.62%","20.69%","35.82%","10.97%","7.88%","15.06%","27.79%","22.91%","33.26%","25.50%","21.15%","30.40%"
"10","California","24.08%","22.06%","26.22%","22.47%","19.11%","26.24%","14.77%","12.14%","17.86%","25.71%","23.27%","28.30%","24.25%","22.07%","26.57%"
"11","Colorado","18.15%","15.30%","21.38%","16.20%","12.06%","21.42%","11.63%","8.59%","15.56%","19.36%","16.03%","23.19%","18.34%","15.33%","21.79%"
"12","Connecticut","17.76%","14.38%","21.73%","21.85%","16.63%","28.17%","12.17%","8.58%","16.99%","18.17%","14.34%","22.76%","17.36%","13.86%","21.53%"
"13","Delaware","19.35%","15.96%","23.25%","21.26%","16.07%","27.57%","9.96%","7.35%","13.36%","20.42%","16.50%","24.98%","19.17%","15.63%","23.29%"
"14","District of Columbia","13.87%","10.99%","17.36%","24.25%","17.95%","31.91%","10.73%","7.49%","15.13%","13.65%","10.44%","17.65%","13.23%","10.31%","16.81%"
"15","Florida","27.03%","24.52%","29.70%","27.21%","23.09%","31.77%","13.68%","11.01%","16.88%","28.72%","25.79%","31.84%","27.02%","24.36%","29.86%"
"16","Georgia","22.51%","19.78%","25.50%","27.44%","22.82%","32.61%","13.12%","10.25%","16.64%","23.37%","20.13%","26.96%","21.95%","19.07%","25.13%"
"17","Hawaii","23.90%","20.03%","28.26%","15.65%","11.31%","21.26%","12.30%","8.79%","16.95%","26.20%","21.66%","31.32%","24.65%","20.54%","29.30%"
"18","Idaho","20.40%","16.93%","24.37%","22.55%","17.39%","28.71%","10.31%","7.32%","14.35%","21.71%","17.64%","26.43%","20.14%","16.49%","24.35%"
"19","Illinois","19.60%","17.06%","22.42%","19.72%","15.82%","24.30%","13.83%","10.81%","17.53%","20.47%","17.51%","23.77%","19.59%","16.92%","22.56%"
"20","Indiana","20.98%","17.73%","24.66%","25.99%","20.31%","32.61%","10.01%","7.23%","13.70%","22.18%","18.34%","26.57%","20.44%","17.03%","24.32%"
"21","Iowa","17.25%","14.24%","20.75%","20.39%","15.52%","26.30%","9.68%","6.92%","13.39%","18.15%","14.65%","22.27%","16.92%","13.79%","20.58%"
"22","Kansas","19.18%","16.25%","22.50%","19.79%","15.38%","25.10%","10.87%","8.02%","14.58%","20.52%","17.01%","24.55%","19.11%","15.99%","22.68%"
"23","Kentucky","21.65%","18.32%","25.38%","25.55%","20.31%","31.60%","12.41%","9.17%","16.60%","22.61%","18.72%","27.05%","21.24%","17.75%","25.20%"
"24","Louisiana","23.44%","19.87%","27.44%","28.30%","22.80%","34.54%","12.20%","8.81%","16.65%","24.55%","20.36%","29.27%","22.92%","19.16%","27.16%"
"25","Maine","15.99%","12.96%","19.56%","17.46%","13.09%","22.90%","6.91%","4.67%","10.11%","16.98%","13.50%","21.15%","15.87%","12.71%","19.63%"
"26","Maryland","21.06%","17.85%","24.67%","21.54%","17.16%","26.68%","11.10%","8.12%","15.02%","22.43%","18.65%","26.72%","21.01%","17.61%","24.87%"
"27","Massachusetts","15.06%","12.19%","18.46%","20.34%","15.02%","26.95%","9.76%","6.81%","13.80%","15.38%","12.12%","19.33%","14.60%","11.66%","18.13%"
"28","Michigan","15.90%","13.92%","18.09%","17.79%","14.54%","21.58%","7.65%","5.72%","10.17%","16.96%","14.63%","19.59%","15.71%","13.64%","18.03%"
"29","Minnesota","15.74%","12.59%","19.50%","17.44%","12.94%","23.09%","8.94%","6.15%","12.83%","16.56%","12.92%","20.96%","15.56%","12.27%","19.53%"
"30","Mississippi","26.36%","22.47%","30.66%","33.10%","26.85%","40.00%","10.94%","7.68%","15.35%","27.94%","23.31%","33.08%","25.59%","21.47%","30.19%"
"31","Missouri","17.63%","14.38%","21.43%","17.76%","13.13%","23.58%","7.96%","5.55%","11.28%","19.10%","15.28%","23.62%","17.62%","14.20%","21.66%"
"32","Montana","16.12%","12.82%","20.07%","16.12%","11.50%","22.15%","8.86%","5.98%","12.93%","17.22%","13.41%","21.84%","16.12%","12.68%","20.26%"
"33","Nebraska","20.12%","17.00%","23.66%","23.70%","18.38%","30.01%","10.78%","7.96%","14.44%","21.24%","17.53%","25.49%","19.71%","16.42%","23.47%"
"34","Nevada","19.35%","16.25%","22.89%","17.02%","12.48%","22.77%","10.47%","7.44%","14.55%","20.83%","17.21%","24.98%","19.59%","16.31%","23.36%"
"35","New Hampshire","14.68%","11.66%","18.32%","18.22%","13.67%","23.87%","7.34%","4.97%","10.71%","15.38%","11.89%","19.67%","14.38%","11.22%","18.24%"
