"Table 5. First Use of Marijuana in the Past Year: Among People Aged 12 or Older at Risk for Initiation of Marijuana Use; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: First use of marijuana in the past year among those at risk for initiation (%) = 100 * {[X1 ÷ (0.5 * X1 + X2)] ÷ 2}, where X1 is the number of marijuana initiates in the past 24 months and X2 is the number of individuals who never used marijuana (with the at-risk population defined as 0.5 * X1 + X2). Both of the computation components, X1 and X2, are based on a survey-weighted hierarchical Bayes small area estimation approach. The age group shown is based on a respondent’s age at the time of the interview, not his or her age at first use. For details, see Section B of the “2021 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology” at https://www.samhsa.gov/data/report/2021-nsduh-guide-state-tables-and-summary-sae-methodology.","","","","","","","","","","","","","","","",""
"NOTE: The state and census region Bayesian confidence (credible) intervals presented here use a simultaneous solution for the 'First Use of Marijuana in the Past 24 Months' and 'Never Used Marijuana' outcomes, which had age group-specific random effects that were allowed to be correlated across the two outcomes. The associated Markov Chain Monte Carlo chains were used to calculate the posterior variance. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","2.11%","1.96%","2.28%","4.03%","3.63%","4.48%","8.12%","7.42%","8.89%","0.74%","0.61%","0.90%","1.77%","1.61%","1.95%"
"2","Northeast","2.18%","1.93%","2.46%","4.02%","3.38%","4.78%","8.57%","7.52%","9.75%","0.84%","0.64%","1.09%","1.88%","1.63%","2.18%"
"3","Midwest","2.34%","2.11%","2.58%","4.43%","3.88%","5.05%","9.03%","8.09%","10.07%","0.75%","0.59%","0.95%","1.94%","1.71%","2.19%"
"4","South","1.75%","1.56%","1.96%","3.57%","3.13%","4.09%","7.18%","6.41%","8.03%","0.53%","0.40%","0.71%","1.43%","1.24%","1.65%"
"5","West","2.51%","2.23%","2.83%","4.45%","3.81%","5.20%","8.61%","7.52%","9.85%","1.06%","0.82%","1.38%","2.15%","1.86%","2.48%"
"6","Alabama","1.47%","1.15%","1.88%","4.00%","2.76%","5.76%","5.95%","4.38%","8.04%","0.28%","0.16%","0.50%","1.06%","0.79%","1.42%"
"7","Alaska","3.97%","3.05%","5.14%","7.25%","4.89%","10.63%","12.28%","8.90%","16.69%","1.64%","1.02%","2.60%","3.22%","2.37%","4.37%"
"8","Arizona","2.88%","2.24%","3.68%","5.08%","3.51%","7.29%","11.58%","8.27%","15.97%","1.04%","0.68%","1.60%","2.43%","1.82%","3.22%"
"9","Arkansas","1.47%","1.13%","1.92%","3.05%","1.96%","4.72%","6.54%","4.77%","8.91%","0.37%","0.22%","0.60%","1.20%","0.89%","1.60%"
"10","California","2.27%","1.92%","2.69%","3.65%","2.82%","4.72%","7.99%","6.52%","9.76%","1.02%","0.74%","1.42%","2.02%","1.66%","2.46%"
"11","Colorado","3.14%","2.51%","3.93%","6.66%","4.76%","9.26%","10.36%","7.64%","13.90%","1.12%","0.76%","1.65%","2.46%","1.90%","3.19%"
"12","Connecticut","2.38%","1.84%","3.07%","4.55%","3.13%","6.58%","9.08%","6.50%","12.53%","0.83%","0.54%","1.28%","1.99%","1.48%","2.67%"
"13","Delaware","2.48%","1.95%","3.15%","6.01%","4.25%","8.43%","10.18%","7.58%","13.56%","0.71%","0.46%","1.10%","1.83%","1.38%","2.42%"
"14","District of Columbia","2.63%","2.02%","3.43%","3.21%","1.91%","5.36%","10.35%","7.57%","13.99%","0.85%","0.53%","1.36%","2.55%","1.90%","3.40%"
"15","Florida","1.53%","1.24%","1.87%","3.82%","2.88%","5.06%","6.45%","5.05%","8.20%","0.57%","0.37%","0.87%","1.21%","0.94%","1.56%"
"16","Georgia","1.75%","1.40%","2.18%","3.00%","2.13%","4.19%","7.17%","5.51%","9.28%","0.56%","0.36%","0.88%","1.51%","1.17%","1.95%"
"17","Hawaii","2.29%","1.73%","3.03%","6.25%","4.21%","9.19%","7.07%","4.95%","10.00%","1.01%","0.60%","1.71%","1.69%","1.19%","2.40%"
"18","Idaho","2.15%","1.67%","2.77%","3.26%","2.16%","4.90%","8.19%","5.89%","11.29%","0.87%","0.58%","1.29%","1.91%","1.43%","2.54%"
"19","Illinois","2.28%","1.89%","2.75%","4.38%","3.27%","5.85%","8.21%","6.36%","10.54%","0.87%","0.62%","1.22%","1.89%","1.51%","2.36%"
