"Table 6. Illicit Drug Use Other Than Marijuana in the Past Month: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: Illicit Drug Use Other Than Marijuana includes the misuse of prescription psychotherapeutics or the use of cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one’s own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs. Illicit Drugs Other Than Marijuana excludes respondents who used only marijuana but includes those who used marijuana in addition to other illicit drugs.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","3.23%","2.99%","3.49%","1.83%","1.51%","2.22%","4.07%","3.60%","4.59%","3.26%","2.97%","3.59%","3.37%","3.11%","3.65%"
"2","Northeast","3.68%","3.16%","4.28%","1.74%","1.27%","2.39%","4.75%","3.89%","5.79%","3.73%","3.12%","4.45%","3.86%","3.30%","4.50%"
"3","Midwest","2.96%","2.56%","3.42%","1.89%","1.47%","2.42%","4.21%","3.55%","4.98%","2.89%","2.43%","3.45%","3.07%","2.65%","3.56%"
"4","South","2.87%","2.48%","3.32%","1.90%","1.49%","2.42%","3.36%","2.84%","3.96%","2.91%","2.45%","3.45%","2.97%","2.55%","3.45%"
"5","West","3.70%","3.19%","4.30%","1.72%","1.27%","2.33%","4.59%","3.76%","5.60%","3.80%","3.19%","4.53%","3.91%","3.35%","4.55%"
"6","Alabama","3.12%","2.16%","4.49%","1.84%","1.12%","3.02%","3.90%","2.57%","5.88%","3.15%","2.04%","4.83%","3.25%","2.22%","4.74%"
"7","Alaska","3.12%","2.19%","4.41%","1.69%","0.98%","2.92%","3.88%","2.48%","6.03%","3.19%","2.13%","4.76%","3.28%","2.28%","4.70%"
"8","Arizona","2.94%","2.07%","4.16%","1.84%","1.12%","3.03%","5.02%","3.19%","7.81%","2.74%","1.80%","4.16%","3.05%","2.13%","4.37%"
"9","Arkansas","3.17%","2.25%","4.44%","1.96%","1.19%","3.22%","3.95%","2.59%","5.97%","3.20%","2.15%","4.74%","3.30%","2.31%","4.69%"
"10","California","4.12%","3.33%","5.08%","1.58%","1.03%","2.41%","4.25%","3.06%","5.86%","4.40%","3.46%","5.58%","4.38%","3.53%","5.43%"
"11","Colorado","3.89%","2.85%","5.27%","2.20%","1.36%","3.55%","5.77%","3.94%","8.37%","3.79%","2.63%","5.44%","4.05%","2.95%","5.55%"
"12","Connecticut","3.22%","2.31%","4.48%","1.55%","0.93%","2.59%","4.48%","2.76%","7.18%","3.22%","2.20%","4.67%","3.38%","2.40%","4.75%"
"13","Delaware","3.54%","2.57%","4.84%","2.00%","1.23%","3.25%","6.45%","4.36%","9.44%","3.31%","2.25%","4.83%","3.68%","2.65%","5.09%"
"14","District of Columbia","4.63%","3.37%","6.34%","2.14%","1.18%","3.85%","5.69%","3.63%","8.81%","4.63%","3.20%","6.67%","4.78%","3.46%","6.58%"
"15","Florida","2.50%","1.83%","3.42%","1.77%","1.15%","2.73%","3.25%","2.05%","5.10%","2.48%","1.74%","3.53%","2.57%","1.85%","3.54%"
"16","Georgia","3.19%","2.34%","4.34%","2.47%","1.59%","3.82%","3.40%","2.22%","5.19%","3.26%","2.27%","4.65%","3.27%","2.36%","4.53%"
"17","Hawaii","2.91%","2.05%","4.12%","2.14%","1.19%","3.82%","5.88%","3.75%","9.09%","2.62%","1.70%","4.03%","2.98%","2.07%","4.28%"
"18","Idaho","2.78%","1.95%","3.95%","1.96%","1.17%","3.25%","3.68%","2.28%","5.88%","2.75%","1.82%","4.14%","2.88%","1.98%","4.16%"
"19","Illinois","3.11%","2.34%","4.12%","1.72%","1.14%","2.59%","4.25%","2.91%","6.17%","3.10%","2.23%","4.30%","3.25%","2.42%","4.35%"
"20","Indiana","2.86%","2.12%","3.86%","1.98%","1.25%","3.12%","4.07%","2.76%","5.97%","2.78%","1.94%","3.96%","2.96%","2.16%","4.04%"
"21","Iowa","2.93%","2.08%","4.11%","2.51%","1.52%","4.11%","3.55%","2.25%","5.55%","2.88%","1.92%","4.30%","2.98%","2.08%","4.24%"
"22","Kansas","2.66%","1.92%","3.69%","1.91%","1.22%","3.00%","4.29%","2.89%","6.33%","2.49%","1.66%","3.72%","2.75%","1.95%","3.86%"
"23","Kentucky","3.23%","2.39%","4.35%","2.03%","1.30%","3.15%","4.22%","2.77%","6.37%","3.22%","2.26%","4.56%","3.35%","2.45%","4.57%"
"24","Louisiana","3.66%","2.61%","5.11%","2.13%","1.31%","3.43%","3.57%","2.24%","5.65%","3.86%","2.64%","5.62%","3.83%","2.69%","5.42%"
"25","Maine","2.89%","2.04%","4.07%","1.76%","1.08%","2.85%","3.98%","2.45%","6.40%","2.85%","1.91%","4.24%","2.98%","2.09%","4.24%"
"26","Maryland","3.25%","2.39%","4.42%","1.85%","1.14%","2.97%","4.34%","2.84%","6.58%","3.26%","2.29%","4.61%","3.39%","2.47%","4.65%"
"27","Massachusetts","3.51%","2.51%","4.87%","1.56%","0.91%","2.67%","5.15%","3.33%","7.90%","3.44%","2.33%","5.05%","3.68%","2.62%","5.14%"
"28","Michigan","2.78%","2.14%","3.60%","1.58%","1.06%","2.36%","3.92%","2.75%","5.57%","2.74%","2.03%","3.69%","2.90%","2.22%","3.78%"
"29","Minnesota","2.47%","1.76%","3.45%","2.19%","1.37%","3.51%","4.00%","2.61%","6.09%","2.27%","1.50%","3.43%","2.50%","1.74%","3.56%"
"30","Mississippi","3.04%","2.14%","4.31%","2.11%","1.24%","3.55%","2.70%","1.69%","4.27%","3.23%","2.17%","4.78%","3.15%","2.18%","4.54%"
"31","Missouri","2.92%","2.06%","4.12%","1.84%","1.14%","2.98%","3.91%","2.44%","6.20%","2.90%","1.94%","4.31%","3.03%","2.11%","4.33%"
"32","Montana","2.89%","2.01%","4.14%","1.72%","1.04%","2.82%","4.62%","2.84%","7.42%","2.76%","1.81%","4.19%","3.00%","2.06%","4.35%"
"33","Nebraska","2.49%","1.75%","3.54%","1.99%","1.20%","3.31%","3.55%","2.28%","5.49%","2.38%","1.55%","3.65%","2.55%","1.76%","3.69%"
"34","Nevada","4.21%","3.06%","5.75%","2.00%","1.22%","3.27%","4.86%","3.04%","7.69%","4.37%","3.07%","6.20%","4.43%","3.20%","6.11%"
"35","New Hampshire","3.89%","2.75%","5.48%","1.60%","0.94%","2.70%","4.65%","2.92%","7.34%","4.01%","2.70%","5.92%","4.09%","2.87%","5.80%"
"36","New Jersey","3.79%","2.80%","5.13%","1.61%","1.00%","2.57%","4.52%","2.94%","6.87%","3.94%","2.80%","5.52%","4.01%","2.93%","5.46%"
"37","New Mexico","4.08%","2.98%","5.55%","2.29%","1.36%","3.83%","5.10%","3.24%","7.94%","4.14%","2.89%","5.91%","4.27%","3.09%","5.88%"
"38","New York","3.68%","2.85%","4.75%","1.82%","1.20%","2.75%","4.64%","3.36%","6.37%","3.73%","2.78%","5.00%","3.85%","2.96%","5.00%"
"39","North Carolina","2.92%","2.15%","3.94%","2.12%","1.36%","3.28%","3.33%","2.17%","5.06%","2.95%","2.07%","4.17%","3.00%","2.18%","4.11%"
"40","North Dakota","2.73%","1.93%","3.84%","1.81%","1.06%","3.09%","3.70%","2.28%","5.97%","2.67%","1.77%","3.99%","2.83%","1.97%","4.03%"
"41","Ohio","3.34%","2.62%","4.25%","1.87%","1.27%","2.76%","4.96%","3.61%","6.80%","3.27%","2.43%","4.37%","3.49%","2.71%","4.48%"
"42","Oklahoma","3.10%","2.22%","4.31%","1.85%","1.15%","2.95%","3.66%","2.36%","5.64%","3.17%","2.15%","4.66%","3.24%","2.29%","4.57%"
"43","Oregon","3.58%","2.61%","4.89%","1.54%","0.93%","2.55%","6.06%","3.97%","9.15%","3.44%","2.37%","4.99%","3.76%","2.72%","5.19%"
"44","Pennsylvania","3.85%","2.96%","4.99%","1.83%","1.16%","2.87%","4.87%","3.38%","6.98%","3.92%","2.91%","5.25%","4.04%","3.09%","5.27%"
"45","Rhode Island","4.29%","3.04%","6.01%","2.29%","1.40%","3.74%","5.83%","3.71%","9.05%","4.23%","2.84%","6.26%","4.46%","3.14%","6.30%"
"46","South Carolina","3.30%","2.35%","4.62%","2.27%","1.41%","3.64%","4.39%","2.86%","6.67%","3.26%","2.19%","4.82%","3.40%","2.39%","4.82%"
"47","South Dakota","3.17%","2.18%","4.59%","2.08%","1.27%","3.40%","3.93%","2.44%","6.27%","3.19%","2.07%","4.89%","3.29%","2.23%","4.84%"
"48","Tennessee","3.77%","2.67%","5.30%","2.05%","1.29%","3.26%","4.13%","2.71%","6.24%","3.92%","2.65%","5.77%","3.95%","2.77%","5.61%"
"49","Texas","2.13%","1.57%","2.89%","1.51%","0.95%","2.41%","2.20%","1.41%","3.40%","2.21%","1.56%","3.13%","2.21%","1.60%","3.03%"
"50","Utah","2.80%","2.05%","3.83%","1.77%","1.10%","2.84%","3.76%","2.27%","6.18%","2.79%","1.89%","4.08%","2.95%","2.12%","4.11%"
"51","Vermont","3.31%","2.42%","4.51%","2.19%","1.35%","3.55%","5.52%","3.64%","8.29%","3.06%","2.08%","4.48%","3.40%","2.46%","4.68%"
"52","Virginia","3.13%","2.34%","4.17%","2.12%","1.41%","3.16%","4.10%","2.88%","5.80%","3.09%","2.18%","4.37%","3.23%","2.38%","4.36%"
"53","Washington","2.89%","2.12%","3.92%","1.65%","1.03%","2.63%","4.65%","3.12%","6.88%","2.78%","1.93%","3.99%","3.01%","2.19%","4.11%"
"54","West Virginia","3.78%","2.72%","5.22%","1.80%","1.09%","2.96%","4.68%","3.01%","7.22%","3.86%","2.65%","5.57%","3.96%","2.83%","5.52%"
"55","Wisconsin","3.14%","2.30%","4.26%","2.02%","1.28%","3.17%","4.50%","3.01%","6.66%","3.06%","2.12%","4.40%","3.25%","2.36%","4.47%"
"56","Wyoming","3.25%","2.28%","4.61%","1.76%","1.07%","2.89%","3.39%","2.19%","5.21%","3.41%","2.28%","5.07%","3.41%","2.36%","4.90%"
