"Table 7. Cocaine Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"* = low precision; no estimate reported.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","1.70%","1.54%","1.88%","0.15%","0.09%","0.28%","3.51%","2.98%","4.12%","1.61%","1.43%","1.82%","1.86%","1.68%","2.06%"
"2","Northeast","2.03%","1.69%","2.44%","0.04%","0.01%","0.16%","4.05%","3.26%","5.03%","1.95%","1.55%","2.45%","2.22%","1.85%","2.66%"
"3","Midwest","1.73%","1.47%","2.04%","0.11%","0.05%","0.24%","3.28%","2.70%","3.99%","1.69%","1.37%","2.08%","1.90%","1.61%","2.24%"
"4","South","1.47%","1.24%","1.73%","0.15%","0.08%","0.31%","2.88%","2.38%","3.49%","1.41%","1.14%","1.74%","1.61%","1.36%","1.89%"
"5","West","1.81%","1.49%","2.19%","0.26%","0.13%","0.53%","4.31%","3.46%","5.36%","1.62%","1.25%","2.09%","1.97%","1.63%","2.39%"
"6","Alabama","1.57%","1.07%","2.30%","0.13%","0.05%","0.32%","2.83%","1.75%","4.57%","1.55%","0.98%","2.45%","1.72%","1.17%","2.52%"
"7","Alaska","1.99%","1.31%","3.02%","0.99%","0.34%","2.88%","2.93%","1.78%","4.78%","1.99%","1.21%","3.25%","2.11%","1.37%","3.23%"
"8","Arizona","1.35%","0.94%","1.95%","0.25%","0.11%","0.59%","3.54%","2.16%","5.75%","1.14%","0.72%","1.82%","1.47%","1.02%","2.12%"
"9","Arkansas","1.36%","0.94%","1.96%","0.38%","0.15%","0.95%","2.57%","1.55%","4.23%","1.29%","0.83%","2.01%","1.46%","1.01%","2.12%"
"10","California","2.00%","1.54%","2.59%","0.09%","0.03%","0.25%","4.52%","3.25%","6.25%","1.84%","1.32%","2.58%","2.20%","1.69%","2.85%"
"11","Colorado","1.81%","1.31%","2.48%","0.36%","0.14%","0.93%","4.91%","3.32%","7.22%","1.50%","1.00%","2.26%","1.95%","1.41%","2.68%"
"12","Connecticut","1.69%","1.16%","2.44%","*","*","*","3.34%","2.06%","5.38%","1.62%","1.05%","2.50%","1.85%","1.28%","2.67%"
"13","Delaware","2.13%","1.41%","3.21%","0.07%","0.02%","0.21%","4.65%","2.92%","7.33%","2.01%","1.21%","3.31%","2.32%","1.53%","3.50%"
