"Table 8. Perceptions of Great Risk from Using Cocaine Once a Month: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","66.20%","65.49%","66.92%","50.73%","49.35%","52.10%","58.81%","57.34%","60.26%","69.15%","68.30%","69.99%","67.78%","67.01%","68.55%"
"2","Northeast","63.81%","62.32%","65.26%","48.91%","46.47%","51.36%","56.09%","53.53%","58.61%","66.52%","64.70%","68.29%","65.18%","63.55%","66.77%"
"3","Midwest","65.52%","64.36%","66.66%","49.24%","47.29%","51.20%","57.95%","55.96%","59.92%","68.66%","67.22%","70.07%","67.21%","65.94%","68.45%"
"4","South","69.67%","68.63%","70.70%","52.20%","50.32%","54.08%","62.00%","60.08%","63.89%","72.95%","71.65%","74.22%","71.50%","70.36%","72.62%"
"5","West","63.00%","61.55%","64.42%","50.84%","48.34%","53.33%","56.43%","53.83%","58.99%","65.45%","63.66%","67.19%","64.25%","62.66%","65.80%"
"6","Alabama","72.28%","68.57%","75.70%","53.23%","47.59%","58.79%","65.68%","59.93%","71.00%","75.53%","71.07%","79.51%","74.22%","70.13%","77.93%"
"7","Alaska","61.36%","57.05%","65.49%","48.41%","42.57%","54.28%","55.51%","49.09%","61.76%","63.85%","58.61%","68.79%","62.80%","57.99%","67.36%"
"8","Arizona","66.81%","62.62%","70.76%","48.49%","42.83%","54.19%","60.11%","53.60%","66.28%","70.08%","65.06%","74.66%","68.71%","64.07%","73.01%"
"9","Arkansas","71.91%","68.07%","75.45%","52.27%","46.15%","58.34%","62.09%","56.12%","67.70%","75.92%","71.29%","80.02%","74.04%","69.78%","77.88%"
"10","California","62.86%","60.55%","65.12%","52.58%","48.63%","56.51%","56.98%","52.94%","60.92%","64.98%","62.16%","67.71%","63.91%","61.38%","66.37%"
"11","Colorado","59.96%","56.12%","63.68%","46.93%","41.50%","52.44%","49.90%","44.00%","55.81%","62.97%","58.42%","67.30%","61.25%","57.06%","65.28%"
"12","Connecticut","68.98%","64.54%","73.10%","46.29%","40.45%","52.23%","59.97%","53.01%","66.54%","72.89%","67.59%","77.61%","71.16%","66.26%","75.61%"
"13","Delaware","68.73%","64.53%","72.64%","49.22%","43.92%","54.54%","60.31%","54.89%","65.49%","71.94%","66.89%","76.50%","70.56%","65.93%","74.79%"
"14","District of Columbia","55.48%","50.98%","59.89%","52.26%","45.74%","58.70%","50.44%","44.68%","56.19%","56.56%","51.26%","61.71%","55.68%","50.89%","60.37%"
"15","Florida","73.11%","70.64%","75.44%","52.89%","48.87%","56.88%","63.77%","59.45%","67.88%","76.30%","73.38%","78.99%","74.88%","72.21%","77.38%"
"16","Georgia","71.56%","68.49%","74.45%","51.13%","46.29%","55.94%","64.46%","59.44%","69.18%","75.37%","71.62%","78.77%","73.86%","70.45%","77.00%"
"17","Hawaii","65.22%","60.90%","69.30%","48.47%","42.35%","54.63%","54.74%","48.28%","61.05%","68.23%","63.14%","72.92%","66.73%","62.01%","71.13%"
