"Table 9. Heroin Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"* = low precision; no estimate reported; -- = not available.","","","","","","","","","","","","","","","",""
"NOTE: Estimates for youths aged 12 to 17 are not available for past year heroin use because past year heroin use was extremely rare among youths aged 12 to 17 in the 2021 NSDUH. As a result, estimates for people aged 12 or older are also not produced.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","--","--","--","--","--","--","0.20%","0.13%","0.31%","0.47%","0.36%","0.62%","0.43%","0.33%","0.56%"
"2","Northeast","--","--","--","--","--","--","0.22%","0.10%","0.47%","0.62%","0.37%","1.02%","0.57%","0.34%","0.93%"
"3","Midwest","--","--","--","--","--","--","0.19%","0.09%","0.42%","0.41%","0.25%","0.69%","0.38%","0.23%","0.64%"
"4","South","--","--","--","--","--","--","0.23%","0.12%","0.43%","0.50%","0.32%","0.77%","0.46%","0.30%","0.71%"
"5","West","--","--","--","--","--","--","0.14%","0.05%","0.39%","0.36%","0.20%","0.64%","0.33%","0.19%","0.58%"
"6","Alabama","--","--","--","--","--","--","0.30%","0.07%","1.25%","0.37%","0.12%","1.11%","0.36%","0.12%","1.04%"
"7","Alaska","--","--","--","--","--","--","*","*","*","0.55%","0.21%","1.42%","0.50%","0.19%","1.28%"
"8","Arizona","--","--","--","--","--","--","0.13%","0.02%","0.69%","0.24%","0.08%","0.74%","0.22%","0.07%","0.69%"
"9","Arkansas","--","--","--","--","--","--","0.19%","0.04%","0.82%","0.50%","0.18%","1.36%","0.46%","0.17%","1.24%"
"10","California","--","--","--","--","--","--","0.12%","0.02%","0.56%","0.38%","0.18%","0.80%","0.34%","0.16%","0.72%"
"11","Colorado","--","--","--","--","--","--","0.17%","0.04%","0.76%","0.29%","0.10%","0.82%","0.27%","0.10%","0.76%"
"12","Connecticut","--","--","--","--","--","--","0.17%","0.04%","0.84%","0.34%","0.11%","1.02%","0.32%","0.11%","0.94%"
"13","Delaware","--","--","--","--","--","--","*","*","*","1.06%","0.32%","3.52%","1.13%","0.37%","3.44%"
"14","District of Columbia","--","--","--","--","--","--","0.08%","0.01%","0.54%","0.55%","0.15%","2.02%","0.49%","0.13%","1.73%"
"15","Florida","--","--","--","--","--","--","0.17%","0.04%","0.72%","0.34%","0.13%","0.87%","0.32%","0.12%","0.81%"
"16","Georgia","--","--","--","--","--","--","0.15%","0.03%","0.62%","0.39%","0.16%","0.96%","0.36%","0.15%","0.88%"
"17","Hawaii","--","--","--","--","--","--","*","*","*","0.40%","0.14%","1.13%","0.39%","0.14%","1.06%"
"18","Idaho","--","--","--","--","--","--","0.25%","0.05%","1.15%","0.32%","0.10%","1.00%","0.31%","0.10%","0.95%"
"19","Illinois","--","--","--","--","--","--","0.19%","0.05%","0.81%","0.69%","0.29%","1.65%","0.63%","0.26%","1.49%"
"20","Indiana","--","--","--","--","--","--","0.18%","0.04%","0.87%","0.32%","0.11%","0.91%","0.30%","0.10%","0.84%"
"21","Iowa","--","--","--","--","--","--","0.22%","0.04%","1.19%","0.25%","0.08%","0.75%","0.25%","0.08%","0.73%"
"22","Kansas","--","--","--","--","--","--","0.13%","0.02%","0.67%","0.31%","0.11%","0.84%","0.28%","0.10%","0.77%"
"23","Kentucky","--","--","--","--","--","--","0.49%","0.14%","1.74%","0.95%","0.39%","2.26%","0.88%","0.37%","2.08%"
"24","Louisiana","--","--","--","--","--","--","0.33%","0.09%","1.22%","0.68%","0.27%","1.67%","0.63%","0.26%","1.52%"
"25","Maine","--","--","--","--","--","--","*","*","*","0.58%","0.21%","1.57%","0.62%","0.23%","1.65%"
"26","Maryland","--","--","--","--","--","--","0.29%","0.08%","1.09%","1.04%","0.46%","2.32%","0.95%","0.43%","2.09%"
"27","Massachusetts","--","--","--","--","--","--","0.17%","0.04%","0.79%","0.58%","0.22%","1.51%","0.52%","0.20%","1.34%"
"28","Michigan","--","--","--","--","--","--","0.12%","0.02%","0.62%","0.23%","0.08%","0.65%","0.22%","0.08%","0.60%"
"29","Minnesota","--","--","--","--","--","--","0.18%","0.04%","0.85%","0.45%","0.17%","1.13%","0.41%","0.16%","1.04%"
"30","Mississippi","--","--","--","--","--","--","0.29%","0.07%","1.22%","0.74%","0.27%","2.00%","0.68%","0.26%","1.78%"
"31","Missouri","--","--","--","--","--","--","0.31%","0.08%","1.17%","0.56%","0.21%","1.48%","0.53%","0.21%","1.36%"
"32","Montana","--","--","--","--","--","--","0.33%","0.07%","1.55%","0.46%","0.17%","1.19%","0.44%","0.17%","1.14%"
"33","Nebraska","--","--","--","--","--","--","0.15%","0.03%","0.76%","0.34%","0.11%","1.04%","0.31%","0.10%","0.94%"
"34","Nevada","--","--","--","--","--","--","0.18%","0.03%","1.00%","0.37%","0.14%","0.97%","0.35%","0.13%","0.90%"
"35","New Hampshire","--","--","--","--","--","--","0.29%","0.07%","1.20%","0.54%","0.20%","1.49%","0.51%","0.19%","1.38%"
"36","New Jersey","--","--","--","--","--","--","0.16%","0.03%","0.77%","0.89%","0.37%","2.16%","0.80%","0.33%","1.93%"
"37","New Mexico","--","--","--","--","--","--","0.21%","0.04%","1.10%","0.37%","0.12%","1.09%","0.35%","0.12%","1.02%"
"38","New York","--","--","--","--","--","--","0.12%","0.03%","0.55%","0.65%","0.27%","1.54%","0.58%","0.25%","1.37%"
"39","North Carolina","--","--","--","--","--","--","0.32%","0.08%","1.25%","0.55%","0.20%","1.49%","0.52%","0.20%","1.38%"
"40","North Dakota","--","--","--","--","--","--","0.17%","0.04%","0.81%","0.50%","0.18%","1.42%","0.45%","0.16%","1.26%"
"41","Ohio","--","--","--","--","--","--","0.22%","0.06%","0.77%","0.33%","0.14%","0.78%","0.32%","0.13%","0.74%"
"42","Oklahoma","--","--","--","--","--","--","0.11%","0.02%","0.72%","0.53%","0.21%","1.32%","0.47%","0.19%","1.17%"
