"Table 10. Perceptions of Great Risk from Trying Heroin Once or Twice: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","82.10%","81.58%","82.61%","58.72%","57.24%","60.18%","78.27%","76.96%","79.52%","85.41%","84.79%","86.02%","84.47%","83.90%","85.02%"
"2","Northeast","82.12%","81.01%","83.18%","58.71%","56.29%","61.09%","78.56%","76.61%","80.40%","85.10%","83.78%","86.32%","84.26%","83.08%","85.37%"
"3","Midwest","81.47%","80.60%","82.31%","57.97%","55.98%","59.93%","77.35%","75.74%","78.88%","84.91%","83.87%","85.90%","83.89%","82.96%","84.77%"
"4","South","83.53%","82.76%","84.26%","59.61%","57.75%","61.44%","79.06%","77.58%","80.48%","87.07%","86.17%","87.92%","86.01%","85.20%","86.78%"
"5","West","80.36%","79.24%","81.43%","57.95%","55.54%","60.32%","77.61%","75.73%","79.39%","83.43%","82.07%","84.70%","82.65%","81.45%","83.80%"
"6","Alabama","84.09%","81.67%","86.25%","59.59%","54.17%","64.80%","79.21%","74.69%","83.10%","87.70%","84.74%","90.15%","86.57%","83.94%","88.83%"
"7","Alaska","79.99%","76.80%","82.85%","58.23%","52.48%","63.78%","75.17%","69.93%","79.76%","83.44%","79.44%","86.79%","82.40%","78.86%","85.45%"
"8","Arizona","82.15%","79.26%","84.71%","57.56%","51.94%","62.99%","77.28%","72.19%","81.67%","85.85%","82.29%","88.80%","84.68%","81.56%","87.36%"
"9","Arkansas","83.66%","81.09%","85.94%","59.07%","52.82%","65.04%","77.17%","72.11%","81.55%","87.74%","84.66%","90.28%","86.30%","83.52%","88.68%"
"10","California","80.69%","78.88%","82.39%","59.25%","55.39%","63.01%","78.66%","75.46%","81.55%","83.53%","81.32%","85.53%","82.88%","80.92%","84.68%"
"11","Colorado","81.21%","78.64%","83.54%","56.48%","50.81%","61.98%","76.77%","72.12%","80.85%","84.68%","81.59%","87.34%","83.64%","80.88%","86.08%"
"12","Connecticut","82.72%","79.64%","85.43%","54.01%","47.81%","60.09%","79.79%","74.57%","84.16%","86.33%","82.56%","89.39%","85.45%","82.13%","88.25%"
"13","Delaware","85.19%","82.51%","87.53%","57.34%","51.68%","62.82%","81.00%","76.62%","84.73%","88.70%","85.51%","91.26%","87.79%","84.89%","90.19%"
"14","District of Columbia","79.47%","75.94%","82.59%","62.08%","55.76%","68.02%","77.26%","71.97%","81.81%","81.09%","76.84%","84.72%","80.54%","76.83%","83.78%"
"15","Florida","86.39%","84.76%","87.87%","59.55%","55.24%","63.72%","80.56%","77.11%","83.60%","89.76%","87.83%","91.41%","88.72%","86.98%","90.26%"
"16","Georgia","83.84%","81.70%","85.78%","58.59%","53.76%","63.26%","78.07%","74.07%","81.60%","88.04%","85.45%","90.22%","86.66%","84.34%","88.68%"
"17","Hawaii","77.40%","73.84%","80.60%","53.79%","47.47%","59.99%","73.30%","67.58%","78.34%","80.28%","75.98%","83.98%","79.51%","75.64%","82.90%"
"18","Idaho","79.69%","76.53%","82.53%","55.54%","49.55%","61.37%","77.82%","72.25%","82.54%","83.36%","79.46%","86.64%","82.59%","79.16%","85.57%"
"19","Illinois","81.31%","79.09%","83.35%","57.74%","53.00%","62.34%","78.32%","74.30%","81.86%","84.56%","81.88%","86.90%","83.73%","81.34%","85.87%"
"20","Indiana","82.11%","79.50%","84.45%","57.32%","51.59%","62.87%","79.56%","75.12%","83.38%","85.66%","82.42%","88.38%","84.78%","81.94%","87.24%"
"21","Iowa","80.04%","77.14%","82.65%","56.04%","50.22%","61.70%","73.40%","67.65%","78.45%","84.15%","80.61%","87.15%","82.58%","79.46%","85.32%"
"22","Kansas","81.43%","79.02%","83.63%","57.16%","51.84%","62.32%","74.98%","70.29%","79.16%","85.75%","82.81%","88.26%","84.17%","81.55%","86.48%"
"23","Kentucky","83.80%","81.35%","85.98%","57.94%","52.35%","63.34%","79.92%","75.19%","83.94%","87.47%","84.48%","89.96%","86.46%","83.81%","88.73%"
"24","Louisiana","84.72%","82.31%","86.85%","62.90%","57.53%","67.97%","79.02%","74.10%","83.22%","88.28%","85.35%","90.68%","87.06%","84.42%","89.30%"
"25","Maine","82.38%","79.45%","84.97%","58.62%","53.17%","63.86%","77.08%","71.95%","81.51%","85.23%","81.75%","88.15%","84.34%","81.17%","87.06%"
"26","Maryland","81.57%","78.94%","83.95%","59.02%","54.00%","63.87%","77.70%","72.99%","81.79%","84.70%","81.53%","87.41%","83.82%","80.98%","86.32%"
"27","Massachusetts","83.00%","80.18%","85.50%","58.03%","52.07%","63.77%","80.97%","76.27%","84.93%","85.85%","82.44%","88.70%","85.17%","82.16%","87.75%"
"28","Michigan","80.45%","78.44%","82.32%","58.04%","53.84%","62.13%","77.15%","73.59%","80.35%","83.48%","81.05%","85.65%","82.63%","80.47%","84.60%"
"29","Minnesota","79.13%","75.97%","81.97%","59.61%","53.78%","65.19%","72.39%","66.68%","77.45%","82.49%","78.64%","85.77%","81.18%","77.74%","84.19%"
