"Table 11. Methamphetamine Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"* = low precision; no estimate reported.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","0.91%","0.77%","1.08%","0.14%","0.07%","0.29%","0.50%","0.35%","0.71%","1.06%","0.88%","1.28%","0.99%","0.83%","1.18%"
"2","Northeast","0.64%","0.45%","0.90%","0.10%","0.03%","0.30%","0.52%","0.28%","0.97%","0.71%","0.50%","1.02%","0.69%","0.49%","0.97%"
"3","Midwest","0.87%","0.67%","1.12%","0.19%","0.07%","0.50%","0.47%","0.26%","0.84%","1.01%","0.78%","1.31%","0.94%","0.72%","1.21%"
"4","South","0.93%","0.73%","1.19%","0.14%","0.05%","0.38%","0.40%","0.22%","0.73%","1.11%","0.86%","1.42%","1.01%","0.79%","1.29%"
"5","West","1.12%","0.84%","1.50%","0.13%","0.04%","0.35%","0.65%","0.39%","1.09%","1.31%","0.97%","1.77%","1.22%","0.91%","1.64%"
"6","Alabama","1.53%","0.83%","2.80%","0.13%","0.04%","0.44%","0.46%","0.17%","1.25%","1.86%","0.99%","3.47%","1.67%","0.91%","3.08%"
"7","Alaska","0.89%","0.47%","1.67%","0.13%","0.04%","0.43%","0.97%","0.40%","2.36%","0.97%","0.48%","1.94%","0.97%","0.51%","1.84%"
"8","Arizona","0.89%","0.45%","1.75%","0.13%","0.04%","0.44%","0.74%","0.30%","1.81%","1.00%","0.47%","2.11%","0.97%","0.48%","1.92%"
"9","Arkansas","1.39%","0.77%","2.51%","0.17%","0.06%","0.51%","0.47%","0.19%","1.17%","1.69%","0.91%","3.13%","1.53%","0.84%","2.77%"
"10","California","1.27%","0.82%","1.96%","0.11%","0.03%","0.37%","0.58%","0.28%","1.22%","1.52%","0.96%","2.38%","1.39%","0.90%","2.15%"
"11","Colorado","0.87%","0.47%","1.61%","0.17%","0.06%","0.50%","0.65%","0.28%","1.52%","0.98%","0.50%","1.91%","0.94%","0.50%","1.75%"
"12","Connecticut","0.52%","0.24%","1.11%","0.06%","0.01%","0.27%","0.52%","0.19%","1.45%","0.57%","0.25%","1.30%","0.56%","0.26%","1.21%"
"13","Delaware","1.02%","0.46%","2.24%","0.08%","0.02%","0.37%","1.13%","0.40%","3.17%","1.11%","0.46%","2.67%","1.11%","0.50%","2.45%"
"14","District of Columbia","0.62%","0.30%","1.28%","0.25%","0.06%","1.03%","0.39%","0.14%","1.12%","0.69%","0.31%","1.51%","0.65%","0.31%","1.35%"
"15","Florida","0.52%","0.28%","0.98%","0.10%","0.03%","0.38%","0.28%","0.10%","0.79%","0.60%","0.31%","1.16%","0.56%","0.30%","1.06%"
