"Table 14. Alcohol Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","47.55%","46.75%","48.35%","6.99%","6.22%","7.85%","50.13%","48.61%","51.65%","51.94%","50.98%","52.90%","51.70%","50.83%","52.58%"
"2","Northeast","50.45%","48.77%","52.13%","7.31%","6.28%","8.49%","55.02%","52.20%","57.81%","54.35%","52.26%","56.43%","54.44%","52.61%","56.26%"
"3","Midwest","50.50%","49.20%","51.80%","8.05%","7.02%","9.21%","54.55%","52.08%","57.01%","54.99%","53.31%","56.66%","54.93%","53.50%","56.35%"
"4","South","45.37%","44.21%","46.55%","6.44%","5.63%","7.35%","47.07%","44.83%","49.31%","49.84%","48.31%","51.36%","49.47%","48.18%","50.76%"
"5","West","46.32%","44.82%","47.82%","6.76%","5.67%","8.04%","47.56%","44.64%","50.51%","50.86%","48.98%","52.75%","50.43%","48.78%","52.07%"
"6","Alabama","38.57%","34.14%","43.19%","5.96%","4.17%","8.43%","39.69%","33.62%","46.10%","42.26%","36.90%","47.82%","41.92%","37.08%","46.93%"
"7","Alaska","49.95%","45.35%","54.55%","6.65%","4.55%","9.63%","49.71%","42.11%","57.32%","55.53%","49.92%","61.00%","54.81%","49.72%","59.80%"
"8","Arizona","45.43%","40.59%","50.37%","7.04%","5.05%","9.73%","52.43%","45.05%","59.71%","48.97%","43.13%","54.83%","49.44%","44.11%","54.77%"
"9","Arkansas","38.88%","34.31%","43.66%","6.48%","4.57%","9.10%","45.45%","38.86%","52.19%","41.94%","36.37%","47.74%","42.42%","37.39%","47.60%"
"10","California","45.44%","42.97%","47.92%","6.32%","4.81%","8.24%","44.48%","39.99%","49.05%","50.26%","47.22%","53.31%","49.50%","46.79%","52.21%"
"11","Colorado","54.89%","50.85%","58.87%","7.61%","5.42%","10.58%","56.62%","50.29%","62.74%","60.05%","55.16%","64.75%","59.60%","55.18%","63.88%"
"12","Connecticut","56.27%","51.18%","61.25%","7.00%","5.01%","9.72%","58.47%","50.50%","66.03%","61.41%","55.25%","67.22%","61.01%","55.42%","66.33%"
"13","Delaware","50.70%","45.81%","55.59%","6.54%","4.58%","9.26%","56.77%","50.17%","63.14%","54.59%","48.65%","60.39%","54.86%","49.50%","60.10%"
"14","District of Columbia","60.90%","56.20%","65.41%","6.85%","4.53%","10.23%","68.64%","61.89%","74.68%","63.58%","57.91%","68.90%","64.29%","59.28%","69.01%"
"15","Florida","49.49%","46.54%","52.46%","6.69%","5.14%","8.65%","47.71%","43.00%","52.47%","53.93%","50.34%","57.49%","53.26%","50.04%","56.45%"
"16","Georgia","43.52%","40.10%","47.01%","5.79%","4.29%","7.78%","42.12%","36.58%","47.86%","48.70%","44.49%","52.94%","47.79%","44.00%","51.60%"
"17","Hawaii","42.97%","38.42%","47.64%","5.70%","3.86%","8.35%","53.75%","46.63%","60.72%","45.40%","40.05%","50.86%","46.34%","41.40%","51.36%"
"18","Idaho","41.51%","36.70%","46.48%","5.95%","4.14%","8.49%","52.61%","44.54%","60.54%","44.76%","38.85%","50.82%","45.84%","40.48%","51.30%"
"19","Illinois","49.48%","46.14%","52.82%","9.49%","7.28%","12.28%","53.24%","47.72%","58.67%","53.70%","49.65%","57.70%","53.64%","49.98%","57.26%"
"20","Indiana","44.14%","40.09%","48.27%","6.00%","4.27%","8.38%","51.46%","45.48%","57.41%","47.79%","42.77%","52.85%","48.30%","43.84%","52.80%"
"21","Iowa","54.04%","49.50%","58.51%","10.79%","7.73%","14.87%","55.81%","48.48%","62.91%","59.20%","53.64%","64.54%","58.69%","53.71%","63.50%"
"22","Kansas","49.38%","45.37%","53.41%","7.02%","5.08%","9.61%","59.89%","53.47%","66.00%","53.27%","48.28%","58.20%","54.23%","49.77%","58.61%"
"23","Kentucky","39.01%","34.96%","43.22%","6.42%","4.45%","9.17%","45.93%","39.45%","52.56%","41.87%","36.96%","46.94%","42.41%","37.96%","46.98%"
"24","Louisiana","43.99%","39.42%","48.66%","6.94%","5.05%","9.47%","47.48%","40.38%","54.68%","48.10%","42.57%","53.67%","48.02%","42.97%","53.11%"
"25","Maine","49.17%","44.39%","53.96%","7.70%","5.52%","10.63%","58.12%","51.09%","64.83%","51.93%","46.31%","57.50%","52.63%","47.47%","57.74%"
"26","Maryland","50.11%","46.01%","54.21%","5.24%","3.77%","7.25%","49.19%","42.70%","55.70%","55.42%","50.38%","60.34%","54.65%","50.12%","59.10%"
"27","Massachusetts","52.00%","47.49%","56.49%","7.43%","5.33%","10.25%","59.11%","52.34%","65.54%","55.41%","49.96%","60.73%","55.92%","51.02%","60.70%"
"28","Michigan","50.83%","48.05%","53.60%","7.37%","5.73%","9.42%","53.75%","48.97%","58.46%","55.33%","51.89%","58.72%","55.11%","52.07%","58.12%"
"29","Minnesota","53.01%","48.30%","57.66%","7.04%","5.07%","9.70%","56.80%","49.73%","63.60%","58.08%","52.31%","63.63%","57.91%","52.71%","62.95%"
"30","Mississippi","37.19%","32.93%","41.65%","5.32%","3.70%","7.60%","44.22%","37.25%","51.42%","40.30%","35.12%","45.70%","40.83%","36.12%","45.73%"
"31","Missouri","46.37%","41.72%","51.09%","7.24%","5.20%","9.99%","50.75%","43.85%","57.63%","50.38%","44.74%","56.01%","50.43%","45.32%","55.53%"
"32","Montana","54.05%","48.70%","59.30%","8.72%","6.08%","12.36%","65.05%","56.85%","72.44%","57.48%","51.10%","63.61%","58.47%","52.63%","64.08%"
"33","Nebraska","52.92%","48.81%","56.98%","8.52%","6.20%","11.61%","55.55%","49.17%","61.75%","58.46%","53.34%","63.40%","58.02%","53.49%","62.42%"
"34","Nevada","46.95%","42.55%","51.39%","8.55%","6.00%","12.06%","46.16%","39.15%","53.32%","51.49%","46.23%","56.71%","50.87%","46.08%","55.65%"
"35","New Hampshire","58.44%","53.62%","63.10%","7.05%","4.94%","9.98%","61.42%","54.65%","67.77%","63.04%","57.18%","68.54%","62.85%","57.59%","67.82%"
"36","New Jersey","51.63%","47.20%","56.03%","7.32%","5.33%","9.97%","54.43%","48.10%","60.62%","56.30%","50.96%","61.50%","56.09%","51.22%","60.83%"
