"Table 15. Binge Alcohol Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: Binge Alcohol Use is defined as drinking five or more drinks (for males) or four or more drinks (for females) on the same occasion (i.e., at the same time or within a couple of hours of each other) on at least 1 day in the past 30 days.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","21.45%","20.85%","22.07%","3.82%","3.25%","4.50%","29.15%","27.81%","30.54%","22.37%","21.64%","23.11%","23.26%","22.60%","23.94%"
"2","Northeast","21.89%","20.69%","23.14%","4.09%","3.30%","5.06%","30.86%","28.49%","33.33%","22.47%","21.03%","23.97%","23.54%","22.24%","24.89%"
"3","Midwest","23.24%","22.27%","24.25%","4.24%","3.53%","5.08%","32.78%","30.87%","34.76%","24.05%","22.87%","25.27%","25.23%","24.15%","26.33%"
"4","South","20.67%","19.82%","21.54%","3.38%","2.80%","4.06%","26.67%","25.04%","28.37%","21.85%","20.82%","22.92%","22.49%","21.56%","23.45%"
"5","West","20.83%","19.78%","21.92%","4.01%","3.22%","4.97%","28.64%","26.41%","30.99%","21.66%","20.38%","22.99%","22.58%","21.42%","23.78%"
"6","Alabama","18.82%","16.12%","21.85%","3.44%","2.27%","5.17%","23.37%","18.45%","29.14%","19.95%","16.73%","23.60%","20.40%","17.45%","23.70%"
"7","Alaska","21.32%","18.25%","24.74%","3.63%","2.33%","5.61%","26.29%","20.55%","32.97%","22.87%","19.23%","26.96%","23.30%","19.93%","27.04%"
"8","Arizona","20.56%","17.53%","23.96%","3.30%","2.11%","5.11%","30.33%","24.08%","37.39%","21.10%","17.59%","25.10%","22.36%","19.05%","26.06%"
"9","Arkansas","20.40%","17.36%","23.82%","3.27%","2.10%","5.06%","27.97%","22.50%","34.19%","21.37%","17.78%","25.46%","22.27%","18.93%","26.00%"
"10","California","20.55%","18.88%","22.34%","4.06%","2.94%","5.58%","27.84%","24.11%","31.91%","21.41%","19.40%","23.58%","22.26%","20.43%","24.21%"
"11","Colorado","23.61%","20.80%","26.66%","4.48%","2.96%","6.71%","33.43%","27.77%","39.60%","24.32%","21.02%","27.95%","25.51%","22.47%","28.81%"
"12","Connecticut","19.94%","16.83%","23.46%","3.58%","2.28%","5.56%","29.27%","22.93%","36.53%","20.32%","16.72%","24.45%","21.51%","18.14%","25.32%"
"13","Delaware","22.35%","19.13%","25.94%","3.25%","2.07%","5.08%","38.74%","32.58%","45.28%","22.20%","18.40%","26.53%","24.15%","20.65%","28.03%"
"14","District of Columbia","30.71%","26.72%","35.02%","4.95%","3.06%","7.91%","39.20%","33.11%","45.64%","31.19%","26.56%","36.23%","32.33%","28.11%","36.87%"
"15","Florida","20.26%","18.28%","22.40%","3.16%","2.25%","4.44%","26.76%","23.03%","30.84%","21.14%","18.82%","23.65%","21.77%","19.63%","24.07%"
"16","Georgia","17.70%","15.46%","20.18%","3.15%","2.13%","4.64%","26.21%","21.87%","31.08%","18.24%","15.54%","21.29%","19.34%","16.88%","22.06%"
"17","Hawaii","21.37%","18.16%","24.98%","3.18%","1.92%","5.21%","26.52%","21.08%","32.77%","22.58%","18.84%","26.82%","23.02%","19.54%","26.91%"
"18","Idaho","19.34%","16.45%","22.62%","3.36%","2.18%","5.15%","30.81%","24.35%","38.12%","19.76%","16.39%","23.64%","21.29%","18.07%","24.90%"
"19","Illinois","22.18%","19.74%","24.83%","5.47%","3.84%","7.72%","31.91%","27.09%","37.15%","22.71%","19.83%","25.88%","23.92%","21.26%","26.80%"
"20","Indiana","21.05%","18.29%","24.11%","3.16%","2.07%","4.79%","32.53%","26.94%","38.65%","21.42%","18.08%","25.17%","23.01%","19.97%","26.35%"
"21","Iowa","24.43%","21.10%","28.10%","4.84%","3.22%","7.21%","31.66%","25.63%","38.38%","25.67%","21.71%","30.06%","26.54%","22.90%","30.53%"
"22","Kansas","23.60%","20.76%","26.71%","3.31%","2.16%","5.05%","33.74%","28.05%","39.94%","24.58%","21.11%","28.42%","25.92%","22.78%","29.33%"
"23","Kentucky","19.04%","16.42%","21.96%","3.06%","1.94%","4.81%","28.70%","23.09%","35.05%","19.47%","16.41%","22.93%","20.70%","17.85%","23.88%"
"24","Louisiana","23.54%","20.28%","27.14%","4.00%","2.67%","5.93%","28.39%","22.40%","35.24%","25.25%","21.42%","29.52%","25.67%","22.09%","29.60%"
"25","Maine","17.71%","15.00%","20.78%","3.52%","2.21%","5.56%","30.80%","24.37%","38.07%","17.43%","14.40%","20.93%","18.89%","15.99%","22.18%"
"26","Maryland","22.32%","19.36%","25.60%","3.00%","2.01%","4.46%","31.28%","25.25%","38.03%","23.28%","19.81%","27.15%","24.28%","21.04%","27.84%"
"27","Massachusetts","21.44%","18.52%","24.68%","4.15%","2.71%","6.29%","32.73%","26.74%","39.34%","21.38%","18.02%","25.18%","22.96%","19.82%","26.43%"
"28","Michigan","23.05%","20.84%","25.42%","3.95%","2.86%","5.43%","31.43%","27.25%","35.93%","23.93%","21.28%","26.81%","24.94%","22.53%","27.51%"
"29","Minnesota","24.13%","20.82%","27.79%","3.57%","2.35%","5.40%","33.65%","27.35%","40.60%","25.24%","21.32%","29.60%","26.33%","22.70%","30.32%"
"30","Mississippi","19.65%","16.73%","22.94%","2.73%","1.76%","4.23%","25.43%","19.64%","32.23%","20.97%","17.47%","24.96%","21.58%","18.36%","25.20%"
"31","Missouri","21.01%","18.02%","24.34%","3.25%","2.13%","4.91%","31.66%","25.69%","38.31%","21.51%","18.03%","25.45%","22.85%","19.59%","26.48%"
"32","Montana","23.76%","20.27%","27.64%","4.59%","2.91%","7.19%","38.84%","31.02%","47.29%","23.63%","19.65%","28.15%","25.63%","21.86%","29.80%"
"33","Nebraska","24.83%","21.71%","28.24%","4.28%","2.81%","6.45%","35.78%","30.08%","41.91%","25.73%","21.97%","29.88%","27.19%","23.76%","30.92%"
"34","Nevada","23.54%","20.32%","27.10%","5.48%","3.46%","8.59%","26.94%","21.26%","33.49%","25.18%","21.41%","29.36%","25.39%","21.90%","29.21%"
"35","New Hampshire","22.67%","19.52%","26.17%","3.72%","2.43%","5.65%","34.71%","28.55%","41.41%","22.83%","19.20%","26.92%","24.30%","20.91%","28.05%"
"36","New Jersey","23.23%","20.18%","26.60%","4.65%","3.08%","6.97%","31.80%","26.30%","37.86%","24.17%","20.60%","28.14%","25.10%","21.78%","28.74%"
"37","New Mexico","22.06%","19.00%","25.45%","5.12%","3.22%","8.05%","31.65%","25.97%","37.94%","22.68%","19.05%","26.77%","23.88%","20.55%","27.56%"
"38","New York","22.27%","20.07%","24.63%","4.05%","2.89%","5.66%","28.85%","24.78%","33.30%","23.20%","20.59%","26.03%","23.92%","21.55%","26.46%"
"39","North Carolina","18.83%","16.20%","21.78%","2.78%","1.83%","4.20%","25.81%","20.80%","31.54%","19.67%","16.59%","23.16%","20.48%","17.61%","23.68%"
"40","North Dakota","25.99%","22.62%","29.67%","4.07%","2.59%","6.35%","41.08%","34.04%","48.51%","25.99%","21.93%","30.50%","28.34%","24.64%","32.34%"
"41","Ohio","24.30%","22.11%","26.64%","4.22%","3.05%","5.80%","30.45%","26.42%","34.81%","25.73%","23.04%","28.62%","26.35%","23.95%","28.90%"
"42","Oklahoma","20.76%","17.75%","24.12%","4.11%","2.65%","6.33%","26.33%","20.57%","33.02%","22.04%","18.44%","26.11%","22.65%","19.34%","26.32%"
"43","Oregon","22.32%","19.38%","25.56%","5.45%","3.65%","8.05%","34.17%","28.23%","40.66%","22.44%","19.10%","26.18%","23.87%","20.71%","27.34%"
"44","Pennsylvania","21.21%","18.92%","23.69%","3.73%","2.57%","5.40%","30.88%","26.11%","36.09%","21.70%","19.03%","24.62%","22.85%","20.37%","25.53%"
"45","Rhode Island","24.07%","20.48%","28.08%","5.35%","3.32%","8.52%","39.75%","31.86%","48.22%","23.37%","19.27%","28.05%","25.68%","21.83%","29.94%"
"46","South Carolina","22.66%","19.46%","26.22%","2.60%","1.69%","3.96%","29.23%","23.55%","35.64%","24.01%","20.17%","28.33%","24.67%","21.17%","28.54%"
"47","South Dakota","23.43%","20.16%","27.06%","3.95%","2.57%","6.01%","34.21%","27.54%","41.57%","24.30%","20.38%","28.69%","25.66%","22.06%","29.63%"
"48","Tennessee","19.40%","16.50%","22.67%","3.42%","2.23%","5.23%","27.16%","21.54%","33.63%","20.11%","16.70%","24.02%","21.02%","17.87%","24.57%"
"49","Texas","22.16%","20.21%","24.25%","3.91%","2.80%","5.45%","24.60%","21.13%","28.43%","24.34%","21.89%","26.97%","24.38%","22.21%","26.68%"
"50","Utah","15.56%","13.35%","18.05%","2.61%","1.53%","4.42%","18.48%","14.02%","23.96%","17.18%","14.41%","20.36%","17.41%","14.93%","20.20%"
"51","Vermont","24.61%","21.61%","27.89%","6.03%","3.99%","9.02%","39.83%","33.76%","46.23%","23.92%","20.47%","27.74%","26.13%","22.93%","29.62%"
"52","Virginia","22.28%","19.87%","24.89%","2.98%","2.08%","4.24%","28.51%","24.21%","33.24%","23.56%","20.66%","26.74%","24.22%","21.59%","27.06%"
"53","Washington","20.03%","17.24%","23.13%","3.46%","2.22%","5.37%","27.98%","22.51%","34.19%","20.74%","17.53%","24.37%","21.63%","18.62%","24.98%"
"54","West Virginia","15.14%","12.54%","18.17%","4.08%","2.57%","6.41%","26.23%","20.61%","32.74%","14.75%","11.80%","18.28%","16.16%","13.37%","19.40%"
"55","Wisconsin","25.99%","22.92%","29.30%","5.34%","3.56%","7.93%","39.72%","33.88%","45.85%","26.27%","22.62%","30.26%","28.07%","24.74%","31.67%"
"56","Wyoming","21.85%","18.51%","25.60%","3.58%","2.26%","5.63%","34.65%","28.34%","41.55%","22.26%","18.35%","26.72%","23.86%","20.20%","27.95%"
