"Table 18. Tobacco Product Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: Tobacco Products include cigarettes, smokeless tobacco (i.e., snuff, dip, chewing tobacco, or snus), cigars, or pipe tobacco.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","19.55%","18.89%","20.22%","2.63%","2.18%","3.16%","16.78%","15.81%","17.80%","21.96%","21.17%","22.78%","21.28%","20.57%","22.01%"
"2","Northeast","16.99%","15.71%","18.35%","2.99%","2.38%","3.74%","15.09%","13.56%","16.76%","18.76%","17.19%","20.43%","18.29%","16.89%","19.77%"
"3","Midwest","22.63%","21.43%","23.86%","3.22%","2.62%","3.96%","19.18%","17.81%","20.64%","25.50%","24.01%","27.05%","24.65%","23.33%","26.01%"
"4","South","21.32%","20.22%","22.46%","2.42%","1.98%","2.96%","17.06%","15.85%","18.35%","24.26%","22.88%","25.68%","23.31%","22.10%","24.57%"
"5","West","15.88%","14.73%","17.11%","2.19%","1.62%","2.95%","15.39%","13.89%","17.03%","17.60%","16.15%","19.14%","17.31%","16.03%","18.66%"
"6","Alabama","25.04%","21.75%","28.64%","2.82%","1.87%","4.22%","18.96%","15.05%","23.60%","28.59%","24.54%","33.03%","27.32%","23.71%","31.26%"
"7","Alaska","23.78%","20.38%","27.54%","2.69%","1.68%","4.27%","18.39%","13.75%","24.17%","27.25%","23.08%","31.85%","26.14%","22.38%","30.28%"
"8","Arizona","19.98%","16.81%","23.58%","1.91%","1.18%","3.07%","18.18%","14.06%","23.18%","22.45%","18.57%","26.86%","21.87%","18.38%","25.81%"
"9","Arkansas","25.91%","22.26%","29.93%","3.05%","1.92%","4.81%","21.00%","16.49%","26.34%","29.56%","25.08%","34.47%","28.40%","24.38%","32.79%"
"10","California","13.01%","11.39%","14.82%","1.87%","1.21%","2.90%","11.56%","9.44%","14.07%","14.56%","12.56%","16.82%","14.16%","12.38%","16.15%"
