"Table 19. Cigarette Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","15.59%","14.98%","16.21%","1.51%","1.17%","1.94%","11.47%","10.66%","12.34%","17.87%","17.13%","18.63%","17.03%","16.36%","17.71%"
"2","Northeast","14.61%","13.47%","15.82%","1.42%","1.03%","1.95%","10.68%","9.25%","12.30%","16.58%","15.21%","18.06%","15.83%","14.59%","17.15%"
"3","Midwest","17.80%","16.78%","18.87%","1.79%","1.34%","2.40%","13.45%","12.11%","14.92%","20.41%","19.15%","21.74%","19.47%","18.34%","20.66%"
"4","South","16.42%","15.49%","17.39%","1.21%","0.90%","1.62%","11.13%","9.98%","12.38%","19.06%","17.93%","20.25%","18.02%","16.99%","19.09%"
"5","West","13.03%","12.02%","14.12%","1.80%","1.22%","2.65%","10.84%","9.41%","12.45%","14.71%","13.47%","16.04%","14.20%","13.08%","15.40%"
"6","Alabama","16.44%","13.60%","19.74%","1.14%","0.68%","1.91%","11.46%","8.30%","15.62%","19.01%","15.49%","23.11%","18.01%","14.89%","21.63%"
"7","Alaska","19.51%","16.11%","23.42%","1.72%","1.00%","2.95%","14.05%","10.24%","18.99%","22.56%","18.34%","27.43%","21.50%","17.73%","25.82%"
"8","Arizona","15.11%","12.27%","18.47%","1.47%","0.88%","2.43%","12.05%","8.59%","16.66%","17.24%","13.75%","21.39%","16.53%","13.40%","20.22%"
"9","Arkansas","20.15%","16.78%","24.01%","1.72%","1.03%","2.84%","12.03%","8.73%","16.37%","23.75%","19.51%","28.58%","22.16%","18.42%","26.40%"
"10","California","11.09%","9.60%","12.79%","1.47%","0.89%","2.44%","9.15%","6.97%","11.92%","12.54%","10.72%","14.62%","12.09%","10.44%","13.95%"
"11","Colorado","14.03%","11.58%","16.89%","1.89%","1.12%","3.18%","11.97%","8.93%","15.87%","15.73%","12.73%","19.28%","15.24%","12.56%","18.37%"
"12","Connecticut","13.82%","10.98%","17.25%","0.84%","0.49%","1.45%","10.74%","7.50%","15.14%","15.74%","12.24%","20.01%","15.07%","11.96%","18.81%"
