"Table 20. Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","69.21%","68.47%","69.95%","64.81%","63.42%","66.17%","64.66%","63.33%","65.97%","70.42%","69.54%","71.29%","69.66%","68.86%","70.46%"
"2","Northeast","72.36%","71.05%","73.63%","66.56%","64.20%","68.84%","67.41%","64.77%","69.95%","73.70%","72.13%","75.20%","72.89%","71.46%","74.27%"
"3","Midwest","65.55%","64.41%","66.68%","62.65%","60.65%","64.61%","63.02%","60.91%","65.08%","66.30%","64.91%","67.66%","65.86%","64.59%","67.09%"
"4","South","68.38%","67.35%","69.38%","64.63%","62.82%","66.40%","63.80%","61.79%","65.76%","69.53%","68.26%","70.76%","68.77%","67.63%","69.89%"
"5","West","71.43%","70.14%","72.69%","65.82%","63.48%","68.10%","65.52%","62.95%","68.00%","73.01%","71.44%","74.53%","72.02%","70.59%","73.40%"
"6","Alabama","65.25%","61.98%","68.39%","63.97%","58.28%","69.28%","62.22%","55.89%","68.16%","65.87%","61.79%","69.73%","65.39%","61.79%","68.82%"
"7","Alaska","66.76%","63.18%","70.17%","66.00%","60.07%","71.47%","60.94%","54.02%","67.46%","67.70%","63.32%","71.79%","66.85%","62.93%","70.56%"
"8","Arizona","71.96%","68.70%","75.00%","66.37%","61.06%","71.30%","62.06%","54.98%","68.67%","74.20%","70.17%","77.85%","72.54%","68.98%","75.84%"
"9","Arkansas","62.98%","59.24%","66.57%","64.54%","58.60%","70.06%","60.61%","53.72%","67.10%","63.16%","58.46%","67.63%","62.82%","58.72%","66.74%"
"10","California","72.53%","70.48%","74.48%","67.59%","63.68%","71.27%","68.31%","64.16%","72.18%","73.76%","71.28%","76.10%","73.04%","70.80%","75.17%"
"11","Colorado","72.21%","69.33%","74.92%","64.71%","59.27%","69.80%","63.38%","57.01%","69.32%","74.40%","70.92%","77.59%","72.95%","69.82%","75.87%"
"12","Connecticut","73.59%","70.24%","76.69%","68.30%","63.01%","73.15%","67.19%","59.97%","73.68%","75.17%","71.00%","78.91%","74.10%","70.45%","77.44%"
"13","Delaware","71.55%","68.09%","74.77%","61.62%","55.89%","67.05%","69.82%","63.89%","75.16%","72.84%","68.65%","76.66%","72.48%","68.72%","75.95%"
"14","District of Columbia","75.20%","71.85%","78.27%","67.88%","61.56%","73.61%","72.74%","66.52%","78.19%","76.12%","72.13%","79.70%","75.64%","72.08%","78.88%"
"15","Florida","73.13%","70.87%","75.28%","64.60%","60.55%","68.45%","68.38%","63.89%","72.54%","74.57%","71.83%","77.13%","73.88%","71.40%","76.21%"
"16","Georgia","67.09%","64.22%","69.85%","63.59%","58.83%","68.09%","62.22%","56.61%","67.53%","68.34%","64.83%","71.65%","67.49%","64.35%","70.49%"
"17","Hawaii","71.92%","68.53%","75.08%","63.72%","57.60%","69.43%","65.34%","58.74%","71.41%","73.57%","69.50%","77.27%","72.66%","68.98%","76.05%"
"18","Idaho","65.66%","62.09%","69.06%","60.81%","54.75%","66.56%","62.00%","54.58%","68.89%","66.94%","62.44%","71.15%","66.26%","62.30%","70.00%"
"19","Illinois","69.19%","66.47%","71.78%","64.62%","59.88%","69.09%","69.29%","64.18%","73.97%","69.73%","66.39%","72.87%","69.67%","66.69%","72.49%"
