"Table 21. Drug Use Disorder in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: Drug Use Disorder estimates are based on Diagnostic and Statistical Manual of Mental Disorders, 5th edition (DSM-5) criteria. Beginning with the 2021 NSDUH, questions on prescription drug use disorder were asked of all past year users of prescription drugs, regardless of whether they misused prescription drugs. The estimates in this table include prescription drug use disorder data from all past year users of prescription drugs. ","","","","","","","","","","","","","","","",""
"NOTE: Drug Use includes the use of marijuana (including vaping), cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine in the past year or any use (i.e., not necessarily misuse) of prescription pain relievers, tranquilizers, stimulants, or sedatives in the past year.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","8.58%","8.20%","8.98%","6.78%","6.07%","7.56%","16.34%","15.36%","17.37%","7.62%","7.17%","8.09%","8.77%","8.36%","9.20%"
"2","Northeast","8.05%","7.36%","8.79%","7.08%","5.87%","8.52%","16.34%","14.60%","18.23%","6.93%","6.17%","7.78%","8.13%","7.42%","8.91%"
"3","Midwest","9.11%","8.48%","9.78%","7.55%","6.48%","8.79%","17.02%","15.58%","18.56%","8.06%","7.34%","8.83%","9.27%","8.61%","9.97%"
"4","South","8.21%","7.66%","8.79%","5.75%","4.91%","6.73%","14.78%","13.56%","16.08%","7.51%","6.88%","8.18%","8.46%","7.88%","9.09%"
"5","West","9.13%","8.41%","9.91%","7.56%","6.36%","8.95%","18.23%","16.28%","20.36%","7.93%","7.12%","8.84%","9.30%","8.52%","10.13%"
"6","Alabama","8.65%","6.90%","10.79%","5.55%","3.62%","8.42%","14.25%","10.79%","18.58%","8.17%","6.21%","10.68%","8.97%","7.12%","11.25%"
"7","Alaska","12.96%","10.48%","15.93%","10.45%","6.91%","15.50%","22.62%","17.84%","28.25%","11.90%","9.13%","15.38%","13.25%","10.64%","16.38%"
"8","Arizona","9.16%","7.38%","11.30%","10.18%","6.90%","14.77%","20.82%","15.89%","26.80%","7.19%","5.42%","9.49%","9.05%","7.25%","11.24%"
"9","Arkansas","8.68%","6.80%","11.00%","5.69%","3.56%","9.00%","13.83%","10.42%","18.13%","8.24%","6.14%","10.98%","9.00%","7.02%","11.47%"
"10","California","8.24%","7.17%","9.47%","6.25%","4.63%","8.39%","16.75%","13.88%","20.07%","7.18%","5.99%","8.59%","8.45%","7.31%","9.75%"
