"Table 24. Alcohol Use Disorder in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: Alcohol Use Disorder estimates are based on Diagnostic and Statistical Manual of Mental Disorders, 5th edition (DSM-5) criteria.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","10.56%","10.10%","11.03%","3.44%","2.94%","4.01%","14.98%","14.04%","15.97%","10.73%","10.18%","11.29%","11.29%","10.79%","11.81%"
"2","Northeast","10.81%","9.96%","11.73%","3.34%","2.68%","4.15%","14.96%","13.23%","16.87%","10.99%","9.97%","12.10%","11.50%","10.58%","12.49%"
"3","Midwest","10.48%","9.82%","11.18%","3.54%","2.96%","4.23%","15.25%","13.77%","16.85%","10.58%","9.77%","11.44%","11.21%","10.49%","11.97%"
"4","South","10.14%","9.56%","10.75%","3.24%","2.71%","3.88%","14.53%","13.17%","16.01%","10.31%","9.60%","11.06%","10.86%","10.23%","11.53%"
"5","West","11.11%","10.32%","11.95%","3.73%","2.97%","4.68%","15.47%","13.72%","17.40%","11.33%","10.38%","12.35%","11.88%","11.02%","12.79%"
"6","Alabama","9.18%","7.48%","11.23%","2.80%","1.85%","4.21%","13.67%","10.19%","18.09%","9.26%","7.30%","11.68%","9.84%","7.98%","12.07%"
"7","Alaska","12.41%","10.23%","14.96%","5.76%","3.66%","8.93%","15.50%","11.53%","20.52%","12.81%","10.27%","15.87%","13.15%","10.77%","15.96%"
"8","Arizona","10.49%","8.56%","12.80%","3.56%","2.36%","5.33%","13.97%","10.27%","18.72%","10.79%","8.53%","13.55%","11.22%","9.11%","13.74%"
"9","Arkansas","9.43%","7.66%","11.55%","3.25%","2.13%","4.95%","13.93%","10.34%","18.49%","9.50%","7.46%","12.03%","10.10%","8.17%","12.44%"
"10","California","11.03%","9.79%","12.40%","3.31%","2.36%","4.63%","15.28%","12.55%","18.49%","11.30%","9.84%","12.94%","11.83%","10.48%","13.32%"
"11","Colorado","12.22%","10.27%","14.48%","5.95%","3.88%","9.03%","15.76%","12.09%","20.28%","12.40%","10.14%","15.09%","12.84%","10.74%","15.29%"
"12","Connecticut","10.30%","8.41%","12.55%","2.82%","1.88%","4.22%","16.52%","12.09%","22.18%","10.17%","8.00%","12.84%","11.02%","8.96%","13.48%"
"13","Delaware","11.27%","9.09%","13.90%","2.60%","1.62%","4.17%","18.87%","14.34%","24.41%","11.17%","8.70%","14.24%","12.09%","9.72%","14.94%"
"14","District of Columbia","15.80%","13.20%","18.80%","2.47%","1.52%","3.98%","19.97%","15.39%","25.50%","16.09%","13.10%","19.60%","16.64%","13.88%","19.81%"
