"Table 25. Substance Use Disorder in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: Substance Use Disorder (SUD) estimates are based on Diagnostic and Statistical Manual of Mental Disorders, 5th edition (DSM-5) criteria. SUD is defined as meeting the criteria for drug or alcohol use disorder. Beginning with the 2021 NSDUH, questions on prescription drug use disorder were asked of all past year users of prescription drugs, regardless of whether they misused prescription drugs. The estimates in this table include prescription drug use disorder data from all past year users of prescription drugs. ","","","","","","","","","","","","","","","",""
"NOTE: Drug Use includes the use of marijuana (including vaping), cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine in the past year or any use (i.e., not necessarily misuse) of prescription pain relievers, tranquilizers, stimulants, or sedatives in the past year.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","16.53%","15.99%","17.08%","8.55%","7.75%","9.43%","25.55%","24.36%","26.78%","16.10%","15.47%","16.75%","17.35%","16.76%","17.95%"
"2","Northeast","16.53%","15.53%","17.58%","9.32%","7.93%","10.93%","25.14%","23.03%","27.37%","16.04%","14.89%","17.25%","17.20%","16.13%","18.32%"
"3","Midwest","17.26%","16.42%","18.13%","9.36%","8.26%","10.59%","26.80%","25.08%","28.60%","16.72%","15.74%","17.74%","18.08%","17.17%","19.03%"
"4","South","15.77%","15.05%","16.53%","7.50%","6.58%","8.53%","24.77%","23.24%","26.36%","15.41%","14.56%","16.31%","16.65%","15.85%","17.47%"
"5","West","17.10%","16.15%","18.08%","9.04%","7.80%","10.45%","26.00%","23.94%","28.18%","16.70%","15.61%","17.86%","17.93%","16.92%","19.00%"
"6","Alabama","15.55%","13.19%","18.25%","7.68%","5.54%","10.54%","25.12%","20.42%","30.49%","15.03%","12.35%","18.16%","16.36%","13.82%","19.27%"
"7","Alaska","20.86%","17.83%","24.26%","10.43%","7.46%","14.41%","29.66%","24.19%","35.78%","20.94%","17.43%","24.94%","22.03%","18.76%","25.69%"
"8","Arizona","16.76%","14.14%","19.76%","10.74%","7.83%","14.57%","27.38%","22.28%","33.14%","15.81%","12.90%","19.23%","17.39%","14.60%","20.58%"
"9","Arkansas","15.23%","12.79%","18.05%","6.88%","4.75%","9.87%","25.15%","20.17%","30.89%","14.73%","11.99%","17.95%","16.14%","13.51%","19.17%"
"10","California","16.20%","14.70%","17.82%","7.56%","5.89%","9.64%","24.00%","20.73%","27.60%","16.04%","14.32%","17.93%","17.09%","15.48%","18.84%"
"11","Colorado","19.17%","16.57%","22.07%","10.97%","7.87%","15.10%","27.10%","22.29%","32.52%","18.91%","15.96%","22.27%","19.99%","17.22%","23.07%"
"12","Connecticut","15.73%","13.13%","18.74%","8.70%","5.96%","12.51%","25.61%","20.39%","31.63%","14.99%","12.11%","18.41%","16.41%","13.65%","19.60%"
"13","Delaware","17.20%","14.61%","20.15%","9.70%","6.81%","13.65%","31.18%","26.06%","36.79%","16.14%","13.23%","19.53%","17.91%","15.16%","21.04%"
"14","District of Columbia","23.40%","20.18%","26.96%","9.77%","6.74%","13.96%","31.91%","26.37%","38.01%","22.99%","19.39%","27.02%","24.26%","20.89%","27.99%"
"15","Florida","14.70%","12.97%","16.61%","7.32%","5.55%","9.61%","23.12%","19.78%","26.83%","14.37%","12.43%","16.56%","15.35%","13.51%","17.39%"
"16","Georgia","16.14%","13.98%","18.55%","7.93%","5.91%","10.57%","23.88%","19.81%","28.49%","15.97%","13.47%","18.83%","17.06%","14.74%","19.67%"
"17","Hawaii","13.80%","11.37%","16.64%","9.45%","6.46%","13.62%","22.23%","17.51%","27.80%","13.19%","10.51%","16.43%","14.19%","11.63%","17.21%"
"18","Idaho","17.08%","14.38%","20.17%","8.52%","6.01%","11.95%","29.05%","23.28%","35.59%","16.37%","13.36%","19.90%","18.12%","15.21%","21.44%"
"19","Illinois","16.45%","14.46%","18.66%","10.55%","8.04%","13.72%","23.57%","19.66%","27.98%","16.09%","13.81%","18.65%","17.07%","14.93%","19.44%"
