"Table 26. Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: Respondents were classified as needing illicit drug use treatment if they met the Diagnostic and Statistical Manual of Mental Disorders, 5th edition (DSM-5) criteria for an illicit drug use disorder or received treatment for illicit drug use at a specialty facility (i.e., drug and alcohol rehabilitation facility [inpatient or outpatient], hospital [inpatient only], or mental health center). Illicit drug use treatment questions are asked of respondents who used illicit drugs in their lifetime. Respondents who used prescription drugs but who did not misuse prescription drugs in their lifetime may not receive these questions. Needing But Not Receiving Illicit Drug Treatment refers to respondents who are classified as needing illicit drug treatment but who did not receive illicit drug treatment at a specialty facility. ","","","","","","","","","","","","","","","",""
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana (including vaping), cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.","","","","","","","","","","","","","","","",""
"NOTE: Illicit Drug Use Disorder estimates are based on DSM-5 criteria. Beginning with the 2021 NSDUH, questions on prescription drug use disorder were asked of all past year users of prescription drugs, regardless of whether they misused prescription drugs. The estimates in this table do not include prescription drug use disorder data from the past year users of prescription drugs who were not also misusers of prescription drugs.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","6.78%","6.45%","7.12%","5.54%","4.91%","6.25%","15.03%","14.05%","16.07%","5.67%","5.30%","6.07%","6.90%","6.55%","7.27%"
"2","Northeast","6.40%","5.78%","7.07%","5.97%","4.88%","7.29%","14.99%","13.35%","16.80%","5.18%","4.52%","5.94%","6.44%","5.79%","7.15%"
"3","Midwest","7.18%","6.63%","7.76%","6.22%","5.25%","7.35%","15.60%","14.18%","17.12%","5.98%","5.37%","6.65%","7.28%","6.70%","7.89%"
"4","South","6.18%","5.75%","6.65%","4.82%","4.04%","5.73%","13.45%","12.34%","14.64%","5.25%","4.75%","5.79%","6.33%","5.86%","6.82%"
"5","West","7.66%","7.04%","8.34%","5.84%","4.75%","7.16%","17.08%","15.18%","19.17%","6.45%","5.75%","7.22%","7.85%","7.19%","8.57%"
"6","Alabama","6.33%","4.86%","8.21%","4.63%","2.93%","7.25%","12.30%","9.23%","16.21%","5.63%","4.03%","7.81%","6.51%","4.96%","8.51%"
"7","Alaska","9.96%","7.85%","12.55%","9.08%","5.72%","14.11%","22.34%","17.36%","28.26%","8.29%","6.02%","11.33%","10.05%","7.85%","12.78%"
"8","Arizona","7.79%","6.19%","9.75%","7.61%","4.98%","11.46%","19.90%","15.14%","25.70%","5.90%","4.29%","8.07%","7.81%","6.16%","9.85%"
"9","Arkansas","6.68%","5.05%","8.78%","5.55%","3.45%","8.82%","12.63%","9.37%","16.80%","5.89%","4.15%","8.28%","6.80%","5.11%","9.00%"
"10","California","7.03%","6.07%","8.13%","4.61%","3.26%","6.50%","15.49%","12.70%","18.77%","6.03%","4.96%","7.30%","7.28%","6.27%","8.45%"
"11","Colorado","8.77%","7.06%","10.85%","7.53%","5.00%","11.17%","18.82%","14.67%","23.81%","7.40%","5.56%","9.79%","8.90%","7.12%","11.07%"
"12","Connecticut","6.25%","4.81%","8.09%","5.85%","3.71%","9.11%","16.01%","12.08%","20.93%","4.79%","3.33%","6.85%","6.29%","4.79%","8.23%"
"13","Delaware","6.74%","5.30%","8.55%","6.73%","4.26%","10.46%","19.06%","14.96%","23.98%","5.10%","3.64%","7.10%","6.75%","5.26%","8.61%"
"14","District of Columbia","9.64%","7.48%","12.35%","6.25%","3.88%","9.93%","19.86%","15.22%","25.48%","8.20%","5.87%","11.32%","9.86%","7.61%","12.69%"
