"Table 27. Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as needing alcohol use treatment if they met the Diagnostic and Statistical Manual of Mental Disorders, 5th edition (DSM-5) criteria for an alcohol use disorder or received treatment for alcohol use at a specialty facility (i.e., drug and alcohol rehabilitation facility [inpatient or outpatient], hospital [inpatient only], or mental health center). Needing But Not Receiving Alcohol Treatment refers to respondents who are classified as needing alcohol treatment but who did not receive alcohol treatment at a specialty facility.",,,,,,,,,,,,,,,,
NOTE: Alcohol Use Disorder estimates are based on DSM-5 criteria.,,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.",,,,,,,,,,,,,,,,
Order,State,12+ Estimate,12+ 95% CI (Lower),12+ 95% CI (Upper),12-17 Estimate,12-17 95% CI (Lower),12-17 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26+ Estimate,26+ 95% CI (Lower),26+ 95% CI (Upper),18+ Estimate,18+ 95% CI (Lower),18+ 95% CI (Upper)
1,Total U.S.,10.22%,9.76%,10.69%,3.35%,2.86%,3.92%,14.75%,13.82%,15.74%,10.34%,9.80%,10.90%,10.92%,10.43%,11.44%
2,Northeast,10.49%,9.66%,11.38%,3.39%,2.71%,4.23%,14.82%,13.10%,16.73%,10.60%,9.62%,11.67%,11.14%,10.25%,12.11%
3,Midwest,10.08%,9.44%,10.75%,3.58%,2.94%,4.34%,14.82%,13.42%,16.35%,10.12%,9.34%,10.95%,10.75%,10.06%,11.49%
4,South,10.04%,9.45%,10.67%,3.17%,2.62%,3.84%,14.26%,12.90%,15.73%,10.23%,9.51%,11.00%,10.76%,10.12%,11.45%
5,West,10.43%,9.65%,11.27%,3.41%,2.73%,4.26%,15.43%,13.65%,17.40%,10.51%,9.58%,11.51%,11.16%,10.31%,12.07%
6,Alabama,9.60%,7.82%,11.75%,3.44%,2.28%,5.17%,13.03%,9.69%,17.30%,9.81%,7.72%,12.39%,10.24%,8.30%,12.57%
7,Alaska,12.07%,9.87%,14.66%,4.60%,3.01%,6.98%,14.76%,11.04%,19.47%,12.63%,10.04%,15.78%,12.90%,10.50%,15.75%
8,Arizona,10.17%,8.25%,12.48%,3.26%,2.14%,4.94%,13.94%,10.33%,18.55%,10.41%,8.15%,13.22%,10.89%,8.81%,13.40%
9,Arkansas,9.36%,7.48%,11.64%,3.52%,2.26%,5.43%,13.67%,10.02%,18.39%,9.42%,7.26%,12.14%,10.00%,7.96%,12.48%
10,California,10.18%,8.95%,11.57%,3.01%,2.12%,4.27%,15.31%,12.54%,18.55%,10.26%,8.82%,11.90%,10.93%,9.58%,12.44%
11,Colorado,11.85%,9.82%,14.24%,4.81%,3.06%,7.47%,15.88%,12.03%,20.67%,12.05%,9.72%,14.86%,12.55%,10.37%,15.12%
12,Connecticut,10.44%,8.45%,12.84%,2.58%,1.65%,4.01%,16.31%,12.06%,21.68%,10.41%,8.14%,13.24%,11.20%,9.04%,13.79%
13,Delaware,10.99%,8.85%,13.56%,2.51%,1.53%,4.11%,17.59%,13.51%,22.57%,11.00%,8.53%,14.08%,11.78%,9.47%,14.57%
14,District of Columbia,15.13%,12.35%,18.40%,3.31%,2.04%,5.34%,20.15%,15.61%,25.62%,15.16%,11.99%,19.00%,15.87%,12.94%,19.33%
