"Table 28. Needing But Not Receiving Treatment at a Specialty Facility for Substance Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: Respondents were classified as needing substance use treatment if they met the Diagnostic and Statistical Manual of Mental Disorders, 5th edition (DSM-5) criteria for an illicit drug or alcohol use disorder or received treatment for illicit drug or alcohol use at a specialty facility (i.e., drug and alcohol rehabilitation facility [inpatient or outpatient], hospital [inpatient only], or mental health center). Substance use treatment questions are asked of respondents who used alcohol or illicit drugs in their lifetime. Respondents who used prescription drugs but who did not misuse prescription drugs in their lifetime may not receive these questions. Needing But Not Receiving Substance Use Treatment refers to respondents who are classified as needing illicit drug or alcohol treatment but who did not receive illicit drug or alcohol treatment at a specialty facility. ","","","","","","","","","","","","","","","",""
"NOTE: Illicit drug use includes the misuse of prescription psychotherapeutics or the use of marijuana (including vaping), cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.","","","","","","","","","","","","","","","",""
"NOTE: Illicit drug or alcohol use disorder estimates are based on DSM-5 criteria. Beginning with the 2021 NSDUH, questions on prescription drug use disorder were asked of all past year users of prescription drugs, regardless of whether they misused prescription drugs. The estimates in this table do not include prescription drug use disorder data from the past year users of prescription drugs who were not also misusers of prescription drugs. ","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","14.56%","14.05%","15.09%","7.36%","6.63%","8.17%","24.14%","23.00%","25.33%","13.96%","13.36%","14.58%","15.30%","14.74%","15.88%"
"2","Northeast","15.30%","14.24%","16.43%","7.55%","6.32%","8.99%","24.41%","22.24%","26.71%","14.79%","13.57%","16.10%","16.02%","14.88%","17.22%"
"3","Midwest","15.11%","14.28%","15.97%","7.81%","6.80%","8.95%","25.04%","23.13%","27.06%","14.44%","13.49%","15.44%","15.87%","14.99%","16.80%"
"4","South","13.49%","12.81%","14.19%","6.69%","5.84%","7.66%","23.10%","21.43%","24.85%","12.85%","12.06%","13.69%","14.20%","13.47%","14.96%"
"5","West","15.27%","14.29%","16.29%","7.93%","6.68%","9.39%","24.83%","22.55%","27.25%","14.69%","13.57%","15.88%","16.03%","14.99%","17.12%"
"6","Alabama","12.19%","10.05%","14.73%","6.40%","4.32%","9.38%","22.23%","17.64%","27.61%","11.35%","9.01%","14.21%","12.79%","10.53%","15.45%"
"7","Alaska","18.40%","15.51%","21.70%","10.46%","7.15%","15.06%","25.07%","19.64%","31.41%","18.46%","15.22%","22.22%","19.29%","16.23%","22.78%"
"8","Arizona","15.04%","12.39%","18.14%","10.76%","7.55%","15.13%","25.68%","20.21%","32.03%","13.88%","11.07%","17.26%","15.48%","12.72%","18.72%"
"9","Arkansas","12.15%","9.85%","14.91%","6.39%","4.12%","9.78%","22.41%","17.71%","27.94%","11.27%","8.81%","14.30%","12.78%","10.37%","15.66%"
"10","California","14.55%","13.00%","16.26%","6.45%","4.84%","8.54%","23.69%","20.28%","27.47%","14.13%","12.37%","16.09%","15.39%","13.74%","17.21%"
"11","Colorado","17.71%","15.02%","20.75%","10.39%","6.94%","15.27%","26.37%","21.41%","32.00%","17.24%","14.29%","20.65%","18.44%","15.65%","21.59%"
"12","Connecticut","14.80%","12.14%","17.93%","6.45%","4.25%","9.67%","24.35%","18.79%","30.92%","14.26%","11.36%","17.74%","15.60%","12.79%","18.90%"
"13","Delaware","15.69%","13.00%","18.81%","8.22%","5.51%","12.10%","28.59%","23.19%","34.69%","14.75%","11.79%","18.29%","16.39%","13.56%","19.68%"
"14","District of Columbia","22.91%","19.36%","26.90%","7.78%","5.04%","11.83%","33.08%","27.41%","39.29%","22.33%","18.36%","26.89%","23.87%","20.16%","28.01%"
"15","Florida","12.54%","10.92%","14.37%","6.65%","4.95%","8.89%","21.77%","18.38%","25.60%","11.96%","10.17%","14.00%","13.06%","11.36%","14.98%"
"16","Georgia","14.28%","12.27%","16.57%","7.32%","5.27%","10.08%","22.55%","18.50%","27.19%","13.87%","11.61%","16.49%","15.07%","12.93%","17.48%"
"17","Hawaii","12.96%","10.41%","16.02%","8.81%","5.86%","13.05%","21.20%","16.33%","27.07%","12.35%","9.60%","15.76%","13.34%","10.67%","16.55%"
"18","Idaho","14.46%","11.83%","17.56%","7.40%","4.91%","11.02%","25.73%","20.14%","32.24%","13.66%","10.83%","17.08%","15.32%","12.54%","18.58%"
"19","Illinois","15.21%","13.22%","17.44%","8.64%","6.40%","11.56%","23.44%","19.35%","28.10%","14.75%","12.55%","17.27%","15.90%","13.80%","18.25%"
"20","Indiana","16.77%","14.24%","19.64%","7.91%","5.47%","11.31%","26.40%","21.70%","31.70%","16.29%","13.44%","19.62%","17.74%","15.05%","20.78%"
"21","Iowa","15.55%","12.99%","18.52%","9.19%","6.33%","13.15%","26.31%","21.07%","32.32%","14.53%","11.76%","17.82%","16.24%","13.55%","19.34%"
"22","Kansas","14.62%","12.40%","17.17%","6.86%","4.75%","9.83%","27.43%","22.58%","32.88%","13.47%","11.06%","16.32%","15.51%","13.14%","18.21%"
"23","Kentucky","12.33%","10.17%","14.87%","6.15%","4.10%","9.13%","23.29%","18.51%","28.87%","11.38%","9.06%","14.20%","12.97%","10.70%","15.65%"
"24","Louisiana","15.89%","13.26%","18.93%","9.12%","6.22%","13.20%","24.73%","19.32%","31.07%","15.39%","12.52%","18.79%","16.62%","13.84%","19.83%"
"25","Maine","14.08%","11.66%","16.91%","7.34%","5.00%","10.64%","22.85%","17.97%","28.59%","13.63%","11.03%","16.74%","14.65%","12.12%","17.61%"
"26","Maryland","15.09%","12.74%","17.80%","6.94%","4.82%","9.89%","29.01%","23.39%","35.35%","14.05%","11.52%","17.04%","15.92%","13.43%","18.76%"
"27","Massachusetts","16.65%","13.96%","19.75%","7.58%","5.12%","11.08%","27.80%","22.45%","33.86%","15.79%","12.82%","19.28%","17.46%","14.62%","20.70%"
"28","Michigan","15.12%","13.40%","17.01%","7.58%","5.77%","9.90%","25.60%","21.89%","29.70%","14.35%","12.43%","16.52%","15.86%","14.03%","17.88%"
"29","Minnesota","14.69%","12.19%","17.59%","7.04%","4.86%","10.11%","25.08%","19.97%","31.00%","14.07%","11.35%","17.32%","15.50%","12.85%","18.58%"
"30","Mississippi","14.16%","11.72%","17.00%","6.95%","4.81%","9.94%","24.25%","19.05%","30.34%","13.50%","10.82%","16.72%","14.98%","12.39%","18.01%"
"31","Missouri","15.49%","12.73%","18.72%","8.61%","5.93%","12.32%","25.92%","20.71%","31.91%","14.72%","11.70%","18.36%","16.20%","13.30%","19.59%"
"32","Montana","16.37%","13.35%","19.93%","8.76%","5.66%","13.33%","30.32%","23.09%","38.67%","15.13%","12.00%","18.89%","17.12%","13.96%","20.82%"
"33","Nebraska","12.92%","10.69%","15.54%","6.86%","4.59%","10.13%","21.77%","17.37%","26.91%","12.24%","9.80%","15.17%","13.62%","11.27%","16.36%"
"34","Nevada","17.10%","14.22%","20.42%","11.65%","7.62%","17.40%","26.98%","21.27%","33.56%","16.40%","13.29%","20.07%","17.66%","14.69%","21.07%"
"35","New Hampshire","15.20%","12.54%","18.31%","5.26%","3.45%","7.94%","25.44%","20.52%","31.07%","14.73%","11.78%","18.27%","16.06%","13.24%","19.35%"
"36","New Jersey","14.27%","11.93%","16.97%","6.34%","4.39%","9.08%","25.36%","20.62%","30.78%","13.63%","11.06%","16.69%","15.06%","12.58%","17.93%"
"37","New Mexico","19.17%","16.20%","22.52%","12.82%","8.76%","18.37%","31.57%","25.41%","38.44%","18.04%","14.76%","21.86%","19.85%","16.73%","23.38%"
"38","New York","16.01%","14.06%","18.17%","8.72%","6.41%","11.75%","23.15%","19.53%","27.22%","15.72%","13.54%","18.19%","16.67%","14.62%","18.94%"
