"Table 30. Serious Mental Illness in the Past Year: Among People Aged 18 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","",""
"NOTE: Serious Mental Illness (SMI) aligns with Diagnostic and Statistical Manual of Mental Disorders, 4th Edition (DSM-IV) criteria and is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder. Estimates of SMI are a subset of estimates of any mental illness (AMI) because SMI is limited to people with AMI that resulted in serious functional impairment. These estimates are based on indicators of SMI rather than direct measures of diagnostic status. For details, see Section B of the ""2021 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at https://www.samhsa.gov/data/report/2021-nsduh-guide-state-tables-and-summary-sae-methodology.","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","",""
"Order","State","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)"
"1","Total U.S.","5.55%","5.23%","5.88%","11.42%","10.60%","12.31%","4.66%","4.33%","5.01%"
"2","Northeast","4.62%","4.14%","5.15%","10.31%","9.05%","11.72%","3.79%","3.26%","4.40%"
"3","Midwest","5.65%","5.22%","6.10%","11.57%","10.41%","12.83%","4.72%","4.25%","5.24%"
"4","South","5.57%","5.14%","6.04%","11.45%","10.40%","12.59%","4.68%","4.21%","5.21%"
"5","West","6.12%","5.49%","6.81%","12.06%","10.56%","13.74%","5.21%","4.52%","6.00%"
"6","Alabama","6.32%","5.04%","7.89%","12.09%","9.21%","15.71%","5.44%","4.03%","7.30%"
"7","Alaska","6.38%","5.16%","7.87%","14.56%","11.07%","18.92%","5.21%","3.90%","6.92%"
"8","Arizona","5.63%","4.44%","7.11%","11.17%","8.34%","14.81%","4.75%","3.46%","6.50%"
"9","Arkansas","6.50%","5.14%","8.19%","12.44%","9.47%","16.17%","5.57%","4.08%","7.55%"
"10","California","6.10%","5.12%","7.26%","12.05%","9.83%","14.71%","5.19%","4.13%","6.52%"
"11","Colorado","6.01%","4.88%","7.37%","10.87%","8.29%","14.13%","5.27%","4.03%","6.87%"
"12","Connecticut","4.31%","3.39%","5.46%","9.97%","7.30%","13.47%","3.43%","2.46%","4.77%"
"13","Delaware","4.30%","3.37%","5.47%","12.69%","9.63%","16.54%","3.17%","2.23%","4.51%"
"14","District of Columbia","4.83%","3.74%","6.22%","10.54%","7.76%","14.16%","3.88%","2.73%","5.47%"
"15","Florida","5.24%","4.42%","6.20%","12.31%","9.91%","15.18%","4.34%","3.47%","5.43%"
"16","Georgia","5.27%","4.31%","6.42%","10.58%","8.30%","13.38%","4.42%","3.40%","5.73%"
"17","Hawaii","5.08%","3.85%","6.69%","10.35%","7.42%","14.26%","4.43%","3.08%","6.33%"
"18","Idaho","6.88%","5.44%","8.67%","13.49%","10.10%","17.80%","5.82%","4.24%","7.94%"
"19","Illinois","4.27%","3.50%","5.22%","9.34%","7.15%","12.11%","3.51%","2.69%","4.57%"
"20","Indiana","6.02%","4.99%","7.24%","13.73%","10.62%","17.57%","4.73%","3.62%","6.15%"
"21","Iowa","6.46%","5.23%","7.96%","11.98%","9.16%","15.52%","5.53%","4.16%","7.31%"
"22","Kansas","6.53%","5.36%","7.93%","11.57%","8.72%","15.21%","5.67%","4.38%","7.31%"
"23","Kentucky","6.76%","5.36%","8.49%","12.19%","9.34%","15.76%","5.92%","4.38%","7.94%"
"24","Louisiana","5.85%","4.61%","7.40%","10.14%","7.49%","13.60%","5.20%","3.83%","7.02%"
"25","Maine","5.31%","4.23%","6.65%","11.89%","8.83%","15.83%","4.50%","3.33%","6.05%"
"26","Maryland","4.39%","3.53%","5.44%","11.57%","8.69%","15.26%","3.36%","2.46%","4.58%"
"27","Massachusetts","4.80%","3.91%","5.87%","11.61%","8.69%","15.34%","3.70%","2.77%","4.93%"
"28","Michigan","5.41%","4.64%","6.31%","12.90%","10.51%","15.76%","4.25%","3.41%","5.30%"
"29","Minnesota","5.49%","4.44%","6.77%","11.77%","8.85%","15.50%","4.55%","3.40%","6.07%"
"30","Mississippi","5.92%","4.58%","7.62%","10.60%","7.89%","14.10%","5.17%","3.69%","7.20%"
"31","Missouri","6.06%","4.89%","7.47%","12.18%","9.26%","15.85%","5.12%","3.86%","6.77%"
"32","Montana","7.04%","5.59%","8.83%","13.35%","9.88%","17.80%","6.08%","4.48%","8.21%"
"33","Nebraska","7.64%","6.09%","9.54%","10.36%","7.63%","13.92%","7.18%","5.40%","9.48%"
"34","Nevada","7.22%","5.74%","9.03%","11.33%","8.50%","14.94%","6.66%","5.03%","8.78%"
"35","New Hampshire","5.17%","4.01%","6.65%","11.21%","8.30%","14.97%","4.32%","3.07%","6.05%"
"36","New Jersey","4.06%","3.25%","5.07%","11.20%","8.65%","14.39%","3.07%","2.22%","4.22%"
"37","New Mexico","5.76%","4.60%","7.20%","12.77%","9.59%","16.81%","4.68%","3.42%","6.37%"
"38","New York","4.23%","3.45%","5.16%","8.27%","6.37%","10.68%","3.63%","2.80%","4.71%"
"39","North Carolina","5.25%","4.30%","6.41%","12.09%","9.32%","15.54%","4.22%","3.19%","5.56%"
"40","North Dakota","7.06%","5.68%","8.74%","14.05%","10.74%","18.17%","5.77%","4.25%","7.80%"
"41","Ohio","5.87%","4.97%","6.93%","11.42%","9.15%","14.17%","5.04%","4.06%","6.24%"
"42","Oklahoma","6.50%","5.22%","8.07%","12.85%","9.67%","16.88%","5.45%","4.05%","7.30%"
