"Table 32. Major Depressive Episode in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","",""
"NOTE: Major Depressive Episode (MDE) is based on the Diagnostic and Statistical Manual of Mental Disorders, 5th Edition (DSM-5) definition, which specifies a period of at least 2 weeks when an individual experienced a depressed mood or loss of interest or pleasure in daily activities and had a majority of specified depression symptoms. For details, see Section B of the ""2021 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at https://www.samhsa.gov/data/report/2021-nsduh-guide-state-tables-and-summary-sae-methodology.","","","","","","","","","","","","",""
"NOTE: There are minor wording differences in the questions in the adult and adolescent MDE modules. Therefore, data from youths aged 12 to 17 were not combined with data from adults aged 18 or older to produce an estimate for those aged 12 or older. ","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","",""
"Order","State","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)"
"1","Total U.S.","8.29%","7.90%","8.69%","20.10%","18.98%","21.27%","18.61%","17.55%","19.72%","6.72%","6.34%","7.12%"
"2","Northeast","7.51%","6.90%","8.16%","19.92%","18.07%","21.91%","17.28%","15.66%","19.02%","6.07%","5.42%","6.79%"
"3","Midwest","8.53%","8.00%","9.10%","21.25%","19.54%","23.05%","18.51%","17.10%","20.01%","6.98%","6.39%","7.61%"
"4","South","8.18%","7.69%","8.70%","18.94%","17.45%","20.53%","18.07%","16.75%","19.48%","6.68%","6.14%","7.26%"
"5","West","8.83%","8.17%","9.54%","21.09%","19.16%","23.16%","20.51%","18.68%","22.48%","7.05%","6.36%","7.82%"
"6","Alabama","8.67%","7.11%","10.54%","18.86%","15.18%","23.19%","15.91%","12.59%","19.91%","7.57%","5.91%","9.64%"
"7","Alaska","11.02%","9.08%","13.31%","23.69%","19.07%","29.02%","25.01%","20.31%","30.37%","9.01%","7.05%","11.46%"
"8","Arizona","8.21%","6.73%","10.00%","21.86%","17.57%","26.86%","18.80%","14.93%","23.40%","6.54%","5.04%","8.45%"
"9","Arkansas","8.53%","6.86%","10.58%","17.94%","13.93%","22.81%","17.21%","13.59%","21.56%","7.17%","5.43%","9.41%"
"10","California","8.34%","7.31%","9.50%","19.72%","16.81%","22.99%","20.52%","17.55%","23.85%","6.48%","5.42%","7.73%"
"11","Colorado","9.78%","8.21%","11.61%","23.40%","18.96%","28.52%","20.60%","16.89%","24.88%","8.15%","6.50%","10.17%"
