"Table 33. Had Serious Thoughts of Suicide in the Past Year: Among People Aged 18 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","",""
"Order","State","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)"
"1","Total U.S.","4.85%","4.55%","5.16%","13.02%","12.16%","13.93%","3.61%","3.31%","3.93%"
"2","Northeast","4.12%","3.69%","4.59%","11.96%","10.55%","13.53%","2.96%","2.54%","3.46%"
"3","Midwest","5.16%","4.77%","5.59%","13.48%","12.23%","14.84%","3.87%","3.45%","4.32%"
"4","South","4.74%","4.37%","5.13%","12.80%","11.63%","14.08%","3.51%","3.14%","3.93%"
"5","West","5.29%","4.78%","5.85%","13.71%","12.04%","15.56%","4.01%","3.49%","4.61%"
"6","Alabama","5.04%","4.02%","6.32%","13.91%","10.74%","17.83%","3.69%","2.70%","5.04%"
"7","Alaska","6.08%","4.77%","7.72%","14.59%","11.20%","18.80%","4.86%","3.52%","6.68%"
"8","Arizona","4.51%","3.56%","5.69%","11.56%","8.64%","15.28%","3.40%","2.46%","4.68%"
"9","Arkansas","4.98%","3.96%","6.24%","14.40%","11.00%","18.63%","3.50%","2.52%","4.83%"
"10","California","5.12%","4.35%","6.01%","14.04%","11.51%","17.02%","3.76%","2.99%","4.71%"
"11","Colorado","5.74%","4.62%","7.10%","13.32%","10.31%","17.04%","4.59%","3.45%","6.08%"
"12","Connecticut","3.99%","3.12%","5.08%","11.49%","8.59%","15.19%","2.83%","2.01%","3.99%"
"13","Delaware","3.91%","3.13%","4.88%","14.23%","11.14%","18.02%","2.53%","1.81%","3.51%"
"14","District of Columbia","4.92%","3.83%","6.31%","12.01%","9.05%","15.76%","3.74%","2.64%","5.28%"
