"Table 34. Made Any Suicide Plans in the Past Year: Among People Aged 18 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","",""
"Order","State","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)"
"1","Total U.S.","1.39%","1.25%","1.55%","4.90%","4.30%","5.59%","0.86%","0.73%","1.00%"
"2","Northeast","1.22%","1.02%","1.46%","4.85%","3.99%","5.88%","0.69%","0.51%","0.93%"
"3","Midwest","1.35%","1.17%","1.57%","5.05%","4.34%","5.88%","0.78%","0.62%","0.98%"
"4","South","1.44%","1.25%","1.65%","4.88%","4.22%","5.64%","0.92%","0.75%","1.13%"
"5","West","1.46%","1.20%","1.77%","4.85%","3.90%","6.01%","0.94%","0.70%","1.27%"
"6","Alabama","1.11%","0.79%","1.56%","4.25%","2.73%","6.55%","0.63%","0.38%","1.04%"
"7","Alaska","1.41%","0.93%","2.11%","4.80%","2.89%","7.85%","0.92%","0.49%","1.72%"
"8","Arizona","1.59%","1.17%","2.16%","5.25%","3.60%","7.59%","1.01%","0.62%","1.63%"
"9","Arkansas","1.51%","1.12%","2.05%","5.64%","3.85%","8.19%","0.87%","0.54%","1.39%"
"10","California","1.46%","1.10%","1.94%","5.18%","3.80%","7.02%","0.89%","0.57%","1.41%"
"11","Colorado","1.55%","1.11%","2.16%","3.91%","2.61%","5.81%","1.19%","0.75%","1.88%"
"12","Connecticut","1.38%","1.00%","1.89%","5.86%","3.97%","8.58%","0.69%","0.40%","1.18%"
"13","Delaware","1.52%","1.14%","2.03%","8.12%","5.69%","11.45%","0.64%","0.39%","1.06%"
"14","District of Columbia","1.26%","0.86%","1.85%","3.78%","2.35%","6.03%","0.84%","0.47%","1.48%"
"15","Florida","1.44%","1.11%","1.88%","4.85%","3.63%","6.46%","1.01%","0.69%","1.48%"
"16","Georgia","1.45%","1.10%","1.91%","5.30%","3.76%","7.43%","0.84%","0.54%","1.30%"
"17","Hawaii","0.95%","0.63%","1.42%","2.97%","1.75%","4.99%","0.70%","0.40%","1.22%"
"18","Idaho","1.44%","1.06%","1.94%","4.06%","2.72%","6.00%","1.02%","0.65%","1.58%"
"19","Illinois","1.37%","1.01%","1.85%","4.23%","2.91%","6.11%","0.94%","0.60%","1.46%"
"20","Indiana","1.59%","1.19%","2.12%","6.21%","4.37%","8.76%","0.82%","0.51%","1.31%"
"21","Iowa","1.31%","0.97%","1.78%","4.64%","3.17%","6.73%","0.75%","0.46%","1.21%"
"22","Kansas","1.65%","1.23%","2.20%","4.98%","3.37%","7.30%","1.08%","0.69%","1.67%"
"23","Kentucky","1.31%","0.97%","1.78%","4.86%","3.37%","6.96%","0.76%","0.47%","1.25%"
"24","Louisiana","1.54%","1.13%","2.10%","6.30%","4.24%","9.26%","0.82%","0.50%","1.35%"
"25","Maine","0.84%","0.60%","1.19%","4.00%","2.73%","5.83%","0.46%","0.26%","0.80%"
"26","Maryland","1.19%","0.87%","1.63%","5.80%","3.94%","8.45%","0.54%","0.30%","0.96%"
"27","Massachusetts","1.24%","0.90%","1.70%","4.78%","3.18%","7.12%","0.67%","0.40%","1.11%"
"28","Michigan","1.48%","1.15%","1.90%","6.07%","4.44%","8.24%","0.77%","0.50%","1.17%"
"29","Minnesota","1.09%","0.78%","1.51%","3.75%","2.52%","5.53%","0.69%","0.42%","1.15%"
"30","Mississippi","1.18%","0.86%","1.62%","4.55%","2.99%","6.87%","0.64%","0.38%","1.06%"
"31","Missouri","1.34%","1.00%","1.79%","5.67%","3.98%","8.03%","0.68%","0.42%","1.11%"
"32","Montana","1.17%","0.85%","1.62%","3.40%","2.17%","5.30%","0.84%","0.53%","1.32%"
"33","Nebraska","1.34%","0.97%","1.84%","3.38%","2.24%","5.07%","0.99%","0.63%","1.55%"
"34","Nevada","1.62%","1.18%","2.21%","6.25%","4.19%","9.24%","1.00%","0.62%","1.60%"
"35","New Hampshire","1.20%","0.87%","1.65%","5.33%","3.59%","7.85%","0.61%","0.36%","1.04%"
"36","New Jersey","1.39%","1.04%","1.85%","6.44%","4.51%","9.12%","0.69%","0.42%","1.13%"
"37","New Mexico","1.69%","1.23%","2.31%","5.34%","3.51%","8.03%","1.12%","0.69%","1.82%"
"38","New York","1.08%","0.79%","1.48%","3.39%","2.33%","4.90%","0.74%","0.46%","1.19%"
"39","North Carolina","1.25%","0.91%","1.72%","3.88%","2.65%","5.67%","0.85%","0.53%","1.37%"
"40","North Dakota","1.32%","0.93%","1.87%","3.52%","2.29%","5.37%","0.91%","0.54%","1.53%"
"41","Ohio","1.18%","0.91%","1.53%","5.38%","3.99%","7.21%","0.55%","0.34%","0.88%"
"42","Oklahoma","1.49%","1.12%","1.97%","5.05%","3.48%","7.28%","0.89%","0.58%","1.38%"
"43","Oregon","1.30%","0.93%","1.82%","3.89%","2.56%","5.88%","0.94%","0.58%","1.52%"
"44","Pennsylvania","1.30%","1.00%","1.68%","5.85%","4.25%","8.00%","0.65%","0.42%","1.00%"
"45","Rhode Island","1.56%","1.13%","2.15%","5.28%","3.55%","7.78%","0.95%","0.56%","1.60%"
"46","South Carolina","1.18%","0.86%","1.62%","4.47%","2.98%","6.65%","0.71%","0.44%","1.15%"
"47","South Dakota","1.02%","0.73%","1.44%","3.47%","2.23%","5.37%","0.63%","0.38%","1.05%"
"48","Tennessee","1.36%","1.00%","1.84%","5.43%","3.75%","7.81%","0.75%","0.46%","1.22%"
"49","Texas","1.78%","1.40%","2.27%","4.76%","3.47%","6.48%","1.28%","0.90%","1.80%"
"50","Utah","1.57%","1.15%","2.12%","3.89%","2.64%","5.70%","1.05%","0.66%","1.66%"
"51","Vermont","1.01%","0.70%","1.45%","3.33%","2.18%","5.05%","0.63%","0.37%","1.10%"
"52","Virginia","1.25%","0.95%","1.65%","4.38%","3.13%","6.12%","0.78%","0.50%","1.19%"
"53","Washington","1.35%","0.97%","1.87%","4.61%","3.01%","6.99%","0.89%","0.55%","1.44%"
"54","West Virginia","1.07%","0.78%","1.46%","5.13%","3.55%","7.35%","0.50%","0.29%","0.87%"
"55","Wisconsin","1.40%","1.04%","1.88%","4.92%","3.43%","7.00%","0.85%","0.54%","1.33%"
"56","Wyoming","1.22%","0.86%","1.72%","3.83%","2.50%","5.81%","0.83%","0.49%","1.40%"
