"Table 35. Attempted Suicide in the Past Year: Among People Aged 18 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","",""
"Order","State","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)"
"1","Total U.S.","0.69%","0.58%","0.81%","2.70%","2.22%","3.27%","0.38%","0.29%","0.50%"
"2","Northeast","0.49%","0.32%","0.76%","2.26%","1.70%","3.00%","0.23%","0.11%","0.51%"
"3","Midwest","0.60%","0.42%","0.85%","2.40%","1.86%","3.08%","0.32%","0.18%","0.57%"
"4","South","0.81%","0.60%","1.09%","2.92%","2.31%","3.69%","0.49%","0.31%","0.78%"
"5","West","0.71%","0.50%","1.01%","2.92%","2.24%","3.80%","0.38%","0.21%","0.68%"
"6","Alabama","0.87%","0.54%","1.38%","3.06%","1.89%","4.90%","0.53%","0.27%","1.07%"
"7","Alaska","0.79%","0.47%","1.31%","2.98%","1.88%","4.70%","0.47%","0.22%","1.04%"
"8","Arizona","0.83%","0.52%","1.31%","3.59%","2.22%","5.74%","0.39%","0.18%","0.86%"
"9","Arkansas","0.93%","0.57%","1.49%","2.96%","1.84%","4.72%","0.61%","0.30%","1.23%"
"10","California","0.71%","0.46%","1.08%","3.03%","2.11%","4.32%","0.35%","0.17%","0.74%"
"11","Colorado","0.72%","0.44%","1.17%","2.52%","1.57%","4.03%","0.45%","0.21%","0.94%"
"12","Connecticut","0.41%","0.22%","0.74%","2.26%","1.37%","3.70%","0.12%","0.03%","0.46%"
"13","Delaware","0.58%","0.36%","0.94%","2.58%","1.65%","4.02%","0.31%","0.15%","0.66%"
"14","District of Columbia","1.07%","0.65%","1.73%","2.69%","1.58%","4.53%","0.79%","0.40%","1.57%"
"15","Florida","0.87%","0.60%","1.27%","3.70%","2.52%","5.39%","0.51%","0.29%","0.91%"
"16","Georgia","0.87%","0.57%","1.32%","3.37%","2.23%","5.05%","0.47%","0.23%","0.93%"
"17","Hawaii","0.42%","0.22%","0.81%","2.45%","1.44%","4.13%","0.18%","0.05%","0.58%"
"18","Idaho","0.76%","0.46%","1.23%","2.69%","1.71%","4.22%","0.44%","0.21%","0.96%"
"19","Illinois","0.61%","0.38%","0.96%","2.50%","1.64%","3.78%","0.32%","0.15%","0.66%"
"20","Indiana","0.71%","0.45%","1.11%","3.01%","1.88%","4.77%","0.32%","0.15%","0.70%"
"21","Iowa","0.50%","0.30%","0.83%","1.78%","1.10%","2.87%","0.28%","0.13%","0.62%"
"22","Kansas","0.64%","0.40%","1.04%","1.86%","1.14%","3.01%","0.43%","0.22%","0.86%"
"23","Kentucky","0.63%","0.39%","1.03%","2.43%","1.53%","3.84%","0.35%","0.16%","0.76%"
"24","Louisiana","0.96%","0.61%","1.52%","2.98%","1.83%","4.82%","0.66%","0.35%","1.24%"
"25","Maine","0.42%","0.23%","0.77%","1.99%","1.21%","3.26%","0.23%","0.09%","0.58%"
"26","Maryland","0.50%","0.30%","0.84%","2.60%","1.61%","4.17%","0.20%","0.08%","0.52%"
"27","Massachusetts","0.35%","0.18%","0.67%","2.04%","1.25%","3.32%","0.08%","0.01%","0.43%"
"28","Michigan","0.58%","0.38%","0.89%","2.51%","1.68%","3.73%","0.28%","0.13%","0.59%"
"29","Minnesota","0.47%","0.28%","0.79%","1.88%","1.15%","3.06%","0.26%","0.11%","0.59%"
"30","Mississippi","0.89%","0.56%","1.41%","2.82%","1.71%","4.62%","0.58%","0.30%","1.12%"
"31","Missouri","0.74%","0.46%","1.17%","2.49%","1.57%","3.91%","0.47%","0.24%","0.94%"
"32","Montana","0.64%","0.38%","1.07%","2.29%","1.38%","3.78%","0.39%","0.18%","0.82%"
"33","Nebraska","0.61%","0.38%","0.98%","1.85%","1.13%","3.01%","0.39%","0.20%","0.79%"
"34","Nevada","0.91%","0.59%","1.42%","4.16%","2.58%","6.66%","0.48%","0.24%","0.96%"
"35","New Hampshire","0.31%","0.16%","0.62%","1.72%","1.03%","2.89%","0.11%","0.03%","0.43%"
